sample_barcode	missing_fraction	retained
TCGA-3C-AAAU-01A	0.1526491715272092	True
TCGA-3C-AALI-01A	0.17604308227329896	True
TCGA-3C-AALJ-01A	0.15802179436317748	True
TCGA-3C-AALK-01A	0.16166192570333668	True
TCGA-4H-AAAK-01A	0.16018266073553866	True
TCGA-5L-AAT0-01A	0.16101197761477493	True
TCGA-5L-AAT1-01A	0.15868229355707303	True
TCGA-5T-A9QA-01A	0.14246735488009724	True
TCGA-A1-A0SB-01A	0.1363667057760971	True
TCGA-A1-A0SE-01A	0.1554853086409332	True
TCGA-A1-A0SF-01A	0.13770669615348904	True
TCGA-A1-A0SG-01A	0.13943285698609786	True
TCGA-A1-A0SH-01A	0.154550480708359	True
TCGA-A1-A0SI-01A	0.13749567404681315	True
TCGA-A1-A0SJ-01A	0.1635020384735505	True
TCGA-A1-A0SK-01A	0.17034548539304978	True
TCGA-A1-A0SN-01A	0.13788606494416356	True
TCGA-A1-A0SO-01A	0.16862565522364123	True
TCGA-A1-A0SP-01A	0.17048898042558938	True
TCGA-A1-A0SQ-01A	0.13935055836449425	True
TCGA-A2-A04R-01A	0.19954883473592694	True
TCGA-A2-A0CK-01A	0.14007225396932582	True
TCGA-A2-A0CO-01A	0.14262984190223768	True
TCGA-A2-A0CR-01A	0.13648698837690237	True
TCGA-A2-A0CT-01A	0.1759227996724937	True
TCGA-A2-A0EN-01A	0.16437778021625546	True
TCGA-A2-A0EP-01A	0.14716892741683618	True
TCGA-A2-A0EU-01A	0.17052063374159077	True
TCGA-A2-A0ST-01A	0.15606350921322518	True
TCGA-A2-A0SU-01A	0.16883034666711685	True
TCGA-A2-A0SV-01A	0.16383967384423193	True
TCGA-A2-A0SW-01A	0.179474301727849	True
TCGA-A2-A0SX-01A	0.15527217631319057	True
TCGA-A2-A0SY-01A	0.15653408851111242	True
TCGA-A2-A0T0-01A	0.18337399025921955	True
TCGA-A2-A0T1-01A	0.17221303103713145	True
TCGA-A2-A0T2-01A	0.1673215386043842	True
TCGA-A2-A0T4-01A	0.19916688472284355	True
TCGA-A2-A0T5-01A	0.15101163997940426	True
TCGA-A2-A0T6-01A	0.15834887862852512	True
TCGA-A2-A0T7-01A	0.17271737387208683	True
TCGA-A2-A0YC-01A	0.16192992377881507	True
TCGA-A2-A0YD-01A	0.1683133425057609	True
TCGA-A2-A0YE-01A	0.19885246178389648	True
TCGA-A2-A0YF-01A	0.1822661241991711	True
TCGA-A2-A0YG-01A	0.1942458491951617	True
TCGA-A2-A0YH-01A	0.20064403946957482	True
TCGA-A2-A0YI-01A	0.16303356939673	True
TCGA-A2-A0YJ-01A	0.18454094250913725	True
TCGA-A2-A0YK-01A	0.21422120181310195	True
TCGA-A2-A0YL-01A	0.1602734002414093	True
TCGA-A2-A0YM-01A	0.1648483595141427	True
TCGA-A2-A0YT-01A	0.17747803259869505	True
TCGA-A2-A1FV-01A	0.14488777844366976	True
TCGA-A2-A1FW-01A	0.15760819103409274	True
TCGA-A2-A1FX-01A	0.14463666213672544	True
TCGA-A2-A1FZ-01A	0.14336841927560331	True
TCGA-A2-A1G0-01A	0.1400574824218585	True
TCGA-A2-A1G1-01A	0.14680174895122014	True
TCGA-A2-A1G4-01A	0.15445763098142162	True
TCGA-A2-A1G6-01A	0.1357652927720708	True
TCGA-A2-A259-01A	0.14969486203374666	True
TCGA-A2-A25A-01A	0.1495176034641389	True
TCGA-A2-A25B-01A	0.16301035696499566	True
TCGA-A2-A25C-01A	0.13530526457951736	True
TCGA-A2-A25D-01A	0.13691747347452118	True
TCGA-A2-A25E-01A	0.1404858572984106	True
TCGA-A2-A25F-01A	0.13742814697267686	True
TCGA-A2-A3KC-01A	0.14592178676638165	True
TCGA-A2-A3KD-01A	0.14877902609077326	True
TCGA-A2-A3XS-01A	0.14472529142152932	True
TCGA-A2-A3XT-01A	0.1483401001088874	True
TCGA-A2-A3XU-01A	0.14241881979556179	True
TCGA-A2-A3XV-01A	0.15669446531218612	True
TCGA-A2-A3XW-01A	0.15202032564931503	True
TCGA-A2-A3XX-01A	0.1599547568603287	True
TCGA-A2-A3XY-01A	0.14554194697436504	True
TCGA-A2-A3XZ-01A	0.14227743498408893	True
TCGA-A2-A3Y0-01A	0.15244659030480034	True
TCGA-A2-A4RW-01A	0.15247613339973495	True
TCGA-A2-A4RX-01A	0.14754032632458577	True
TCGA-A2-A4RY-01A	0.16417519899384658	True
TCGA-A2-A4S0-01A	0.14995019878282448	True
TCGA-A2-A4S1-01A	0.1563652708257717	True
TCGA-A2-A4S2-01A	0.16143613204919346	True
TCGA-A2-A4S3-01A	0.16966810443062016	True
TCGA-A7-A0D9-01A	0.16479560398747373	True
TCGA-A7-A0DC-01B	0.1507098783668577	True
TCGA-A7-A13D-01A	0.16220847295962726	True
TCGA-A7-A13E-01A	0.1652493015168269	True
TCGA-A7-A13F-01A	0.16037891129474724	True
TCGA-A7-A13G-01A	0.13847692684285606	True
TCGA-A7-A13G-01B	0.14757831030378743	True
TCGA-A7-A13H-01A	0.1394771716284998	True
TCGA-A7-A26E-01A	0.13511112424137553	True
TCGA-A7-A26E-01B	0.1538519975352618	True
TCGA-A7-A26F-01A	0.1384895881692566	True
TCGA-A7-A26F-01B	0.15573009428467727	True
TCGA-A7-A26G-01A	0.13974516970397818	True
TCGA-A7-A26H-01A	0.14561369449063483	True
TCGA-A7-A26I-01A	0.13670012070464502	True
TCGA-A7-A26J-01A	0.14684606359362207	True
TCGA-A7-A26J-01B	0.15157295878316213	True
TCGA-A7-A2KD-01A	0.14636915363253455	True
TCGA-A7-A3IY-01A	0.13989710562078483	True
TCGA-A7-A3IZ-01A	0.1577580167298326	True
TCGA-A7-A3J0-01A	0.15137670822395355	True
TCGA-A7-A3J1-01A	0.14818816419208075	True
TCGA-A7-A3RF-01A	0.13737750166707463	True
TCGA-A7-A425-01A	0.14105772720750226	True
TCGA-A7-A426-01A	0.13985490119944965	True
TCGA-A7-A4SA-01A	0.19231499691907725	True
TCGA-A7-A4SB-01A	0.1655468426872399	True
TCGA-A7-A4SC-01A	0.1431236336318593	True
TCGA-A7-A4SD-01A	0.14931924268386357	True
TCGA-A7-A4SE-01A	0.183247376995214	True
TCGA-A7-A4SF-01A	0.18477095660541398	True
TCGA-A7-A56D-01A	0.13422061095120325	True
TCGA-A7-A5ZV-01A	0.15160250187809676	True
TCGA-A7-A5ZW-01A	0.15820538359598552	True
TCGA-A7-A5ZX-01A	0.18393319884191067	True
TCGA-A7-A6VV-01A	0.14059136835174854	True
TCGA-A7-A6VW-01A	0.1468186307197542	True
TCGA-A7-A6VX-01A	0.15367473896565403	True
TCGA-A7-A6VY-01A	0.14941631285293447	True
TCGA-A8-A075-01A	0.18312287395227525	True
TCGA-A8-A08O-01A	0.1650952553789535	True
TCGA-A8-A0A6-01A	0.17943209730651383	True
TCGA-A8-A0AD-01A	0.17383579103746907	True
TCGA-AC-A23C-01A	0.14831688767715306	True
TCGA-AC-A23E-01A	0.14753610588245225	True
TCGA-AC-A23G-01A	0.15289606739202	True
TCGA-AC-A23H-01A	0.1956027213410877	True
TCGA-AC-A2B8-01A	0.15857678250373508	True
TCGA-AC-A2BK-01A	0.15039967587004416	True
TCGA-AC-A2BM-01A	0.14107249875496958	True
TCGA-AC-A2FB-01A	0.13559225464459657	True
TCGA-AC-A2FE-01A	0.13909522161541643	True
TCGA-AC-A2FF-01A	0.13535590988511956	True
TCGA-AC-A2FG-01A	0.14596399118771683	True
TCGA-AC-A2FK-01A	0.13414675321386668	True
TCGA-AC-A2FM-01A	0.14225844299448812	True
TCGA-AC-A2FO-01A	0.13404124216052873	True
TCGA-AC-A2QH-01A	0.1388251133188713	True
TCGA-AC-A2QH-01B	0.15083860185193002	True
TCGA-AC-A2QI-01A	0.14137003992538258	True
TCGA-AC-A2QJ-01A	0.13879557022393665	True
TCGA-AC-A3BB-01A	0.1410703885339028	True
TCGA-AC-A3EH-01A	0.13745557984654472	True
TCGA-AC-A3HN-01A	0.16125676325851895	True
TCGA-AC-A3OD-01A	0.15468764507769833	True
TCGA-AC-A3OD-01B	0.14232174962649088	True
TCGA-AC-A3QP-01A	0.13926403930075715	True
TCGA-AC-A3QQ-01A	0.14010601750639398	True
TCGA-AC-A3TM-01A	0.13550151513872594	True
TCGA-AC-A3TN-01A	0.14178786369660085	True
TCGA-AC-A3W5-01A	0.13680563175798297	True
TCGA-AC-A3W6-01A	0.1404900777405441	True
TCGA-AC-A3W7-01A	0.1355500502232614	True
TCGA-AC-A3YI-01A	0.14989955347722228	True
TCGA-AC-A3YJ-01A	0.1454765301212955	True
TCGA-AC-A4ZE-01A	0.14978138109748376	True
TCGA-AC-A5EH-01A	0.14154518827392357	True
TCGA-AC-A5XS-01A	0.14342750546547256	True
TCGA-AC-A5XU-01A	0.14586059035544563	True
TCGA-AC-A62X-01A	0.18851026833571086	True
TCGA-AC-A62Y-01A	0.14721746250137163	True
TCGA-AC-A6IV-01A	0.1482219277291489	True
TCGA-AC-A6IW-01A	0.14747490947151623	True
TCGA-AC-A6IX-01A	0.21551476732702518	True
TCGA-AC-A6NO-01A	0.14989111259295523	True
TCGA-AC-A7VB-01A	0.1571481628415393	True
TCGA-AC-A7VC-01A	0.16004971680833285	True
TCGA-AC-A8OP-01A	0.15660372580631546	True
TCGA-AC-A8OQ-01A	0.1603556988630129	True
TCGA-AC-A8OR-01A	0.1523410792514624	True
TCGA-AC-A8OS-01A	0.14233441095289143	True
TCGA-AN-A0XL-01A	0.1704932008677229	True
TCGA-AN-A0XN-01A	0.16892319639405423	True
TCGA-AN-A0XO-01A	0.1661398148069992	True
TCGA-AN-A0XP-01A	0.21822218095567691	True
TCGA-AN-A0XR-01A	0.17485080737058015	True
TCGA-AN-A0XS-01A	0.18250879962184838	True
TCGA-AN-A0XT-01A	0.16451283436452802	True
