sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-B6-A0RT-01A	tumor	Basal	Primary Tumor	6.0945136873567884	0.9050159349699753
TCGA-B6-A0RU-01A	tumor	Basal	Primary Tumor	4.170426341028807	-0.23187083471298295
TCGA-B6-A0WX-01A	tumor	Basal	Primary Tumor	3.469457666373929	0.6218087308680849
TCGA-B6-A0X1-01A	tumor	Basal	Primary Tumor	4.01227174498913	-1.5950533529140747
TCGA-B6-A1KF-01A	tumor	Basal	Primary Tumor	2.1437077504529363	-0.1483760527277006
TCGA-B6-A3ZX-01A	tumor	Basal	Primary Tumor	5.8980602224653165	-0.12945788219798554
TCGA-B6-A400-01A	tumor	Basal	Primary Tumor	4.0010378934049715	-2.8220097725314095
TCGA-B6-A402-01A	tumor	Basal	Primary Tumor	4.312922540459426	-2.7041486482839807
TCGA-B6-A409-01A	tumor	Basal	Primary Tumor	3.1463441501960396	-2.450548686417971
TCGA-BH-A0B3-01A	tumor	Basal	Primary Tumor	3.2772669948090583	-1.9929416538696156
TCGA-BH-A0B9-01A	tumor	Basal	Primary Tumor	5.27709186357104	-1.8984651618762767
TCGA-BH-A0E0-01A	tumor	Basal	Primary Tumor	2.811272942153378	-1.9874099746075216
TCGA-BH-A0RX-01A	tumor	Basal	Primary Tumor	4.831501052690629	-1.1234278443480707
TCGA-BH-A0WA-01A	tumor	Basal	Primary Tumor	3.2886929638080207	-3.050914761931654
TCGA-BH-A1F0-01A	tumor	Basal	Primary Tumor	4.574449063469914	-2.0763554759401828
TCGA-BH-A1F6-01A	tumor	Basal	Primary Tumor	4.120307765459857	1.7551588145503996
TCGA-BH-A1FC-01A	tumor	Basal	Primary Tumor	3.9390737730072845	2.2566956693797344
TCGA-BH-A5IZ-01A	tumor	Basal	Primary Tumor	3.0261672638665345	-1.4072616227634458
TCGA-C8-A1HJ-01A	tumor	Basal	Primary Tumor	3.612068568820904	-3.174715476997505
TCGA-C8-A27B-01A	tumor	Basal	Primary Tumor	3.727244546391329	-1.7984992251611018
TCGA-D8-A1JK-01A	tumor	Basal	Primary Tumor	-1.3494387384316038	-5.855421853916258
TCGA-D8-A1JL-01A	tumor	Basal	Primary Tumor	4.984424429491565	-0.9664549042675036
TCGA-D8-A1JM-01A	tumor	Basal	Primary Tumor	3.9977594933293377	4.055649991275399
TCGA-D8-A1XK-01A	tumor	Basal	Primary Tumor	6.06058914145995	0.31674778153431943
TCGA-D8-A1XQ-01A	tumor	Basal	Primary Tumor	1.1811227865347267	-3.908161660727542
TCGA-D8-A27F-01A	tumor	Basal	Primary Tumor	4.06959159395621	-3.5422706360914846
TCGA-D8-A27H-01A	tumor	Basal	Primary Tumor	3.107590088949203	-0.777478855166014
TCGA-D8-A27M-01A	tumor	Basal	Primary Tumor	3.409630044073726	-2.4140151987235434
TCGA-E2-A14N-01A	tumor	Basal	Primary Tumor	5.114699887939715	-0.3067092163511912
TCGA-E2-A1AZ-01A	tumor	Basal	Primary Tumor	4.319219370653024	-1.4538897451721755
TCGA-E2-A1B6-01A	tumor	Basal	Primary Tumor	5.475438620669616	-1.3622145409430961
TCGA-E2-A1II-01A	tumor	Basal	Primary Tumor	4.039338219793053	-1.2005062501349038
TCGA-E2-A1LG-01A	tumor	Basal	Primary Tumor	2.068573862031156	-6.640557230296412
TCGA-E2-A1LH-01A	tumor	Basal	Primary Tumor	4.500511353934021	-0.47802554646786066
TCGA-E2-A1LI-01A	tumor	Basal	Primary Tumor	4.0050558559947	-2.463401013199841
TCGA-E2-A1LK-01A	tumor	Basal	Primary Tumor	2.4984442245349	2.1887478488159604
TCGA-E2-A1LL-01A	tumor	Basal	Primary Tumor	-0.21865505985732034	-3.901337882729189
