sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-A7-A5ZW-01A	tumor	Primary Tumor	-2.2062063112825734	1.4536028366653038
TCGA-A7-A5ZX-01A	tumor	Primary Tumor	-1.3960592690005014	1.6955589247977754
TCGA-A8-A08O-01A	tumor	Primary Tumor	2.688417329948249	-2.188491867455384
TCGA-A8-A0A6-01A	tumor	Primary Tumor	0.08484595105201632	3.429545009245659
TCGA-A8-A0AD-01A	tumor	Primary Tumor	3.9716601362967485	-6.598668450135333
TCGA-AC-A23C-01A	tumor	Primary Tumor	0.6248867164530856	0.8322763425515073
TCGA-AC-A23E-01A	tumor	Primary Tumor	2.108180203360359	-0.3126637617608678
TCGA-AC-A23G-01A	tumor	Primary Tumor	-1.513112276763171	0.19923672842348242
TCGA-AC-A2B8-01A	tumor	Primary Tumor	0.9029314674775685	-0.38190143757208905
TCGA-AC-A2FB-01A	tumor	Primary Tumor	-2.2726602457939533	1.2076988470244763
TCGA-AC-A2FE-01A	tumor	Primary Tumor	-1.1177634599313184	3.018221692331805
TCGA-AC-A2FF-01A	tumor	Primary Tumor	-3.3480894074325644	-0.11640269323748816
TCGA-AC-A2FG-01A	tumor	Primary Tumor	0.7549395069782333	-1.7063469624657346
TCGA-AC-A2FM-01A	tumor	Primary Tumor	3.2411427531948074	6.879345783743168
TCGA-AC-A2FO-01A	tumor	Primary Tumor	0.3206418295030433	-1.0240149695557197
TCGA-AC-A2QI-01A	tumor	Primary Tumor	2.435977054423946	-5.91782141610039
TCGA-AC-A3BB-01A	tumor	Primary Tumor	-0.38214296901386335	0.2232739042304707
TCGA-AC-A3EH-01A	tumor	Primary Tumor	4.292838997508189	1.3602862571884973
TCGA-AC-A3HN-01A	tumor	Primary Tumor	-1.1410796386468853	1.1460268921818204
TCGA-AC-A3OD-01A	tumor	Primary Tumor	-1.2598894956021898	3.8986254571345023
TCGA-AC-A3OD-01B	tumor	Primary Tumor	-0.9741604143334651	4.307106044983926
