method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0032869	GO:0032869	cellular response to insulin stimulus	197	0.405553886871126	1.05350574336927	0.22977022977023	0.481370668854834	tags=65%, list=48%, signal=34%	APC/BCAR1/CAV2/CPEB1/FOXC2/GHSR/HDAC9/LEP/PAX6/PKLR/POU4F2/PRKCB/PRKCZ/TSC2/TRIM72/PRKCQ/GRB10/PDK4/BAIAP2/GPT/RARRES2/SH2B2/SESN3/MYO1C/CYFIP1/SHC1/PDK2/PTPRE/SORBS1/PIK3R1/RELA/GCK/SERPINA12/SGCB/AKT1/PCSK9/SLC27A1/OSBPL8/SRC/GNAI2/IRS2/LONP1/CAPN10/PPARG/PIK3CA/PDE3B/EEF2K/PTPRJ/MIR195/PID1/AKT2/KANK1/SLC2A4/IL1B/NCOA2/SORL1/SLC39A14/SLC9A1/COL6A1/CPEB2/RHOQ/SLC25A33/INPP5K/FER/IGF1R/YWHAG/RB1/TBC1D4/RAB8A/FOXO4/NCK1/PDPK1/GRB2/PIP4K2B/RBM4/FFAR3/ZFP36L1/FOXO1/SREBF1/PTPN11/IRS4/GAB1/MTOR/NCOA1/KAT2B/GPR21/PNPLA3/INHBB/SOCS7/SOCS1/APPL1/INSR/MYO5A/RAB31/PHIP/NUCKS1/PCK2/MAPK1/GHR/PTPRA/PIK3R2/BCAR3/SOCS3/MAPK3/RAB13/NCL/LPIN1/WDTC1/HRAS/CUL3/BGLAP/KBTBD2/NDEL1/LPIN3/STAT1/ZBTB7B/PRKAA1/PTPN1/IRS1/ZDHHC7/INS/PIP4K2A/FBP1/GSK3A/LPIN2/ZNF592/CFLAR/ADIPOQ
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0008202	GO:0008202	steroid metabolic process	303	0.397123257913845	1.04613407283641	0.22977022977023	0.481370668854834	tags=41%, list=35%, signal=27%	ACADL/AKR1B1/BMP2/C7orf50/CACNA1H/CYP11A1/CYP1A1/CYP24A1/CYP7B1/DKK3/EDNRB/FGFR1/GFI1/IGFBP7/LEP/LEPR/LRP5/NR5A2/OSBPL5/PDGFRA/PROX1/SHH/CH25H/CFTR/BMP6/LHCGR/SRD5A2/DHH/SCNN1B/PRKG1/CYP1B1/RORA/NR3C1/CRH/FGF19/CYB5R3/KIT/NR0B1/DAB2/PBX1/ACOX2/HDLBP/LIPC/APOA1/PRKACA/STAT5B/OSBPL7/SULT4A1/RDH5/SULT2B1/PRKAG2/SERPINA12/PDE8B/NR5A1/LIPE/CYP27A1/PCSK9/SNAI2/CLN6/CBR1/ABCG1/HSD17B8/OSBPL9/SF1/SCAP/ACADVL/EGR1/ABCG4/HSD11B1/SCARB1/FGF1/LIMA1/NR1I2/CYP19A1/OSBPL3/GNAI1/H6PD/OSBPL2/TSKU/MBTPS1/ACOT8/HSD17B12/ERRFI1/MVD/SCP2/APOC1/LIPA/IGF1R/LRP2/BDH1/PON1/TM7SF2/ERLIN2/ACAA2/HSD17B6/SCARF1/IL1A/FMO5/SULT1E1/GAL/LDLRAP1/SREBF1/CYP27B1/EPHX2/DKKL1/DGKQ/WNT4/ATP1A1/FDX1/MVK/CYP2E1/FDFT1/ABCA1/CETP/HSD17B1/BAAT/APOE/CYB5R1/PIAS4/NR1D1/SOAT1/SDR42E1/CLN8
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0099524	GO:0099524	postsynaptic cytosol	23	0.495620925217796	1.13281206227744	0.23	0.481729989868288	tags=87%, list=47%, signal=46%	FABP5/KIF5C/PRKCG/CALB1/BAIAP2/KIF5A/PLCB1/PIAS1/SYT1/PLCB3/PIAS3/HTT/HOMER1/DBN1/KIF5B/DAG1/SENP7/UBE3A/SUMO1/SENP5
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0034135	GO:0034135	regulation of toll-like receptor 2 signaling pathway	11	0.548841754683188	1.1591214297392	0.230377166156983	0.482286376486769	tags=64%, list=31%, signal=44%	LYN/CYBA/TNFAIP3/NOD2/TREM2/TIRAP/MFHAS1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:2000774	GO:2000774	positive regulation of cellular senescence	16	0.520169115643106	1.14601722100559	0.230382293762575	0.482286376486769	tags=38%, list=29%, signal=27%	HLA-G/YPEL3/B2M/TP53/ABI3/MIR34A
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:1902745	GO:1902745	positive regulation of lamellipodium organization	33	0.472445815391015	1.10877484071797	0.230769230769231	0.482851915291187	tags=64%, list=38%, signal=39%	ARHGEF7/ENPP2/FSCN1/WNT1/CDC42/RREB1/CYFIP1/PIK3R1/SRC/PIK3CA/CORO1C/AUTS2/AVIL/PLCE1/MTOR/CORO1B/RAC1/WASF2/TWF2/ABI2/RAC2
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0005507	GO:0005507	copper ion binding	56	0.444006137998836	1.08766905879014	0.230769230769231	0.482851915291187	tags=59%, list=43%, signal=33%	LOX/MT3/SNCA/MOXD1/LOXL2/PAM/SOD3/SNCB/LOXL1/S100A5/MUC2/HEPHL1/TP53/SNCG/AOC3/CUTA/LOXL3/ATP13A2/IL1A/PRND/LOXL4/AOC2/SUMF1/F5/PRNP/ALB/ATOX1/HAMP/GPC1/PARK7/DBH/ADNP/SCO2
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0010801	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	15	0.524530782537886	1.14741768712021	0.231313131313131	0.483745139814942	tags=60%, list=32%, signal=41%	SPRY2/EIF4G1/SMAD7/PARD3/INPP5K/CALM3/SPRED2/DGKQ/CADM4
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0010921	GO:0010921	regulation of phosphatase activity	15	0.524441265801867	1.14722186813375	0.231313131313131	0.483745139814942	tags=27%, list=23%, signal=20%	BMP2/MEF2C/CHP2/PPARGC1B
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0001222	GO:0001222	transcription corepressor binding	46	0.454740897936297	1.09900910403479	0.231768231768232	0.484207051160058	tags=54%, list=35%, signal=35%	CTBP1/ETS1/RUNX3/SIX3/TP73/EHMT2/CTBP2/ZBTB7A/RORA/PER1/PHF1/PBX1/BCL6/LEF1/SMAD3/NEK6/ZBTB16/EHMT1/WIZ/RUNX1/PER2/PER3/STK36/NR1D1/ENO1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0032892	GO:0032892	positive regulation of organic acid transport	45	0.454967360791722	1.0970576088793	0.231768231768232	0.484207051160058	tags=62%, list=42%, signal=36%	AVPR1A/FABP3/GABBR1/NTSR1/SLC6A1/TNFSF11/TRH/SSTR4/P2RX7/AVPR1B/OXT/ABAT/ACSL5/ITGB1/IL1B/AVP/PLA2G3/PLA2R1/SLC7A5/IL1A/MAP2K6/SLC17A8/PLA2G4A/EDN1/STXBP1/SYT4/PTGES/SLC38A3
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0032456	GO:0032456	endocytic recycling	75	0.433604874734387	1.07899285863917	0.231768231768232	0.484207051160058	tags=49%, list=32%, signal=34%	ACTN2/DENND1C/RAB11FIP4/NDRG4/SCRIB/ARL4C/SCARB2/RAB12/EHD4/EHD2/HGS/MICALL2/RAB11B/INPP5F/VPS52/RAB11FIP3/ARHGAP1/ZDHHC2/SNX27/PTPN23/SNX31/SORL1/ATP9A/RAB17/GRIP2/RAB8B/RAB35/EHD1/PLA2G3/RAB8A/DENND1A/VPS53/EHD3/SNX7/GRIPAP1/EPS15/MTMR4
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0009314	GO:0009314	response to radiation	397	0.391616229154755	1.03949414737044	0.231768231768232	0.484207051160058	tags=43%, list=38%, signal=27%	AQP1/ATP8A2/CCND2/CREBBP/CRYAB/DNMT3A/EGFR/ELOVL4/FOXB1/GRIN1/GRIN2A/GRM6/HOXA1/HYAL2/KCNC2/MEIS2/MME/MMP9/NETO1/PRAP1/SFRP1/SFRP2/SLC1A3/SYNE1/SYNGAP1/TULP1/GPR88/MFAP4/CRTC1/TRPC3/DRD2/GNA11/B3GAT1/ABCC8/EXT1/NDRG4/MMP2/RGR/CRY2/SLC24A4/CPT1B/KIT/DRD1/PER1/GUCY2D/IL12B/TSPYL5/USP2/CNGB1/HSF1/COMT/MYO15A/ABCG5/MTA1/PPP1R1B/TRPM1/SLC1A2/LRRN4/PDE6B/COL6A2/BARD1/SEMA5B/PLEKHB1/CACNB4/PIK3R1/TH/RGS14/RELA/THBD/PML/GUCA1A/CACNA2D4/PDE8B/AKT1/NPHP4/SNAI2/FBXW7/HYAL1/CDKN1A/BEST1/GPX1/ELANE/SDF4/KCNC1/TP53I13/MAPK10/COL3A1/CHRNB2/RDH13/RUVBL2/ERCC4/EGR1/USP47/PPP1CC/GNAT1/DDHD2/INO80/NR2F6/ITGB1/INTS3/STK11/BBC3/PDE1B/EEF1D/AKT2/VCAM1/BCL3/UBE4B/PITPNM1/IFI16/CDC25A/PIAS1/RGS9BP/TREX1/TP53/HRH1/SCARA3/COL6A1/NFATC4/MAPK11/TNKS1BP1/ABCA4/GNB5/ABCA7/B4GALT2/GRB2/CRB1/TGFB1/PER2/YAP1/RBM4/IL1A/WRN/BCL2/PER3/CTNS/TUBA1A/POLK/N4BP1/ERCC1/BRSK1/GRK4/COL6A3/BRCA2/UNC119/CEP250/HUS1/PTPRK/COPS3/RIC8A/CBL/TANC1/CLK2/BBS10/PPP1CA/ERCC6/GADD45A/PRPH2/FOS/DRD3/BAK1/KAT5/ATOH7/ERCC2/RAD9A/EIF2AK4/ATM/RAD9B/IL12A/PLK3/NUCKS1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0070741	GO:0070741	response to interleukin-6	42	0.458898031018663	1.09985839313217	0.232767232767233	0.486171317947019	tags=57%, list=40%, signal=35%	FOXA2/GFI1/SBNO2/CITED1/RELA/C1QTNF4/PTGIS/SRC/CHI3L1/MIR125B1/IL6R/PID1/FCAR/PTPRT/FER/MIR125A/YAP1/JAK1/ST18/STAT4/CEBPA/STAT3/ST3GAL6/RIPK1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:1903727	GO:1903727	positive regulation of phospholipid metabolic process	13	0.538394077314746	1.16058035334419	0.233805668016194	0.487355449666224	tags=38%, list=16%, signal=32%	FABP3/HTR2C/SPATA18/CAPN2/HTR2A
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0051000	GO:0051000	positive regulation of nitric-oxide synthase activity	13	0.538263762855414	1.16029944311945	0.233805668016194	0.487355449666224	tags=85%, list=46%, signal=46%	NPR3/TERT/AKT1/SCARB1/GCH1/NUS1/FCER2/HIF1A/TERF2/ESR1/INS
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:1902950	GO:1902950	regulation of dendritic spine maintenance	13	0.53766395010363	1.15900646660886	0.233805668016194	0.487355449666224	tags=62%, list=35%, signal=40%	ZNF804A/GRIN2B/ZMYND8/NEDD9/FYN/HOMER1/APOE/PRNP
