method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Telomere Extension By Telomerase [R-HSA-171319]	reactome:Telomere Extension By Telomerase [R-HSA-171319]	22	0.311914022119799	0.789816967102727	0.860721442885772	1	tags=23%, list=30%, signal=16%	TERT/CCNA1/DKC1/NHP2/SHQ1
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Signaling by CSF3 (G-CSF) [R-HSA-9674555]	reactome:Signaling by CSF3 (G-CSF) [R-HSA-9674555]	28	0.301822505499047	0.789126371904052	0.882117882117882	1	tags=43%, list=48%, signal=22%	LYN/GRB2/STAT1/JAK1/GAB2/UBE2D1/SYK/CSF3R/HCK/KRAS/STAT5B/CUL5
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:PKMTs methylate histone lysines [R-HSA-3214841]	reactome:PKMTs methylate histone lysines [R-HSA-3214841]	33	0.297226700099537	0.788647021778103	0.894105894105894	1	tags=58%, list=58%, signal=24%	MECOM/PRDM16/SMYD3/EHMT2/EZH2/ATF7IP/RBBP4/SUV39H1/EHMT1/NFKB1/DOT1L/PRDM9/SETDB2/ASH1L/SETDB1/SETD7/SMYD2/SETD2/RBBP7
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Formation of annular gap junctions [R-HSA-196025]	reactome:Formation of annular gap junctions [R-HSA-196025]	11	0.34320442883515	0.788588903319932	0.81198347107438	1	tags=18%, list=21%, signal=14%	DAB2/DNM1
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Degradation of cysteine and homocysteine [R-HSA-1614558]	reactome:Degradation of cysteine and homocysteine [R-HSA-1614558]	14	0.332555117299929	0.78841749668185	0.829765545361876	1	tags=50%, list=50%, signal=25%	TSTD1/SLC25A10/CSAD/GADL1/FMO1/TST/CDO1
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Protein folding [R-HSA-391251]	reactome:Protein folding [R-HSA-391251]	92	0.275812459156342	0.788128389961794	0.973026973026973	1	tags=58%, list=58%, signal=24%	GNG7/RGS7/TBCD/TUBA3C/RGS6/GNG2/TBCE/PFDN1/GNG4/GNG12/KIF13A/PFDN4/GNA15/RGS9/GNB3/ARL2/GNGT2/FBXW4/DCAF7/TUBA1C/TUBAL3/FBXO6/GNAQ/FBXW5/TUBB2B/ARFGEF2/KIFC3/CCT4/GNA14/CCNE2/VBP1/FBXW7/TUBB1/GNB5/PFDN6/TP53/TUBA1B/TCP1/CCT6A/SPHK1/PFDN5/CCT3/GAPDHS/NOP56/CCT5/FKBP9/RGS11/GNB1/TUBA4A/TUBB3/GNGT1/PFDN2/LONP2
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Cytoprotection by HMOX1 [R-HSA-9707564]	reactome:Cytoprotection by HMOX1 [R-HSA-9707564]	56	0.284904236870427	0.78802285030395	0.935064935064935	1	tags=30%, list=34%, signal=20%	NLRP3/PTK6/NCOR2/NCOA1/COX6C/FABP1/RXRA/MAFK/HBB/ABCC1/HM13/ALB/COX7B/NCOA2/TBL1XR1/COX4I2/COX8C
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC) [R-HSA-5619107]	reactome:Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC) [R-HSA-5619107]	28	0.300968254311138	0.786892899819208	0.886113886113886	1	tags=25%, list=33%, signal=17%	SEC13/GCK/NUP210/NUP93/NUP153/NUP133/NUP43
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Regulation of Glucokinase by Glucokinase Regulatory Protein [R-HSA-170822]	reactome:Regulation of Glucokinase by Glucokinase Regulatory Protein [R-HSA-170822]	28	0.300968254311138	0.786892899819208	0.886113886113886	1	tags=25%, list=33%, signal=17%	SEC13/GCK/NUP210/NUP93/NUP153/NUP133/NUP43
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation [R-HSA-975138]	reactome:TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation [R-HSA-975138]	98	0.273858224869207	0.785561244875314	0.976023976023976	1	tags=65%, list=63%, signal=24%	PELI2/RPS6KA2/MAPK10/IKBKG/S100A12/TLR7/MAP2K6/IKBKB/HMGB1/MEF2C/IRAK4/FBXW11/MAP2K4/NOD2/PPP2CB/MAPKAPK2/UBE2N/IRAK2/CASP8/IRAK1/TRAF2/MAP2K3/ELK1/NFKBIB/S100B/CUL1/NOD1/NKIRAS2/MAP3K1/NFKB1/ECSIT/SAA1/RPS6KA1/MAPK9/USP18/TLR4/TNIP2/TP53/DUSP3/LY96/TIFA/TLR9/NLRX1/ATF1/RIPK2/FOS/MAPK8/RPS6KA3/DUSP4/APP/TMED7-TICAM2/CD14/MAPK11/NLRC5/ALPK1/PPP2CA/MAP2K1/TICAM1/PELI3/MEF2A/MAP3K7/N4BP1/MAPK1/NKIRAS1
