method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypermethylated	GO:0000110	CC	nucleotide-excision repair factor 1 complex	3	1	0.443184009352611	1
missMethyl_gometh	GO	hypermethylated	GO:0000111	CC	nucleotide-excision repair factor 2 complex	1	0	0.999999999993718	1
missMethyl_gometh	GO	hypermethylated	GO:0000112	CC	nucleotide-excision repair factor 3 complex	1	0	0.999999999996571	1
missMethyl_gometh	GO	hypermethylated	GO:0000118	CC	histone deacetylase complex	82	16	0.954507980008155	1
missMethyl_gometh	GO	hypermethylated	GO:0000120	CC	RNA polymerase I transcription regulator complex	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000121	MF	glycerol-1-phosphatase activity	1	0	0.99999999998863	1
missMethyl_gometh	GO	hypermethylated	GO:0000122	BP	negative regulation of transcription by RNA polymerase II	919	288	0.00107721004430627	0.0359642423131754
missMethyl_gometh	GO	hypermethylated	GO:0000123	CC	histone acetyltransferase complex	91	8	0.999730717287183	1
missMethyl_gometh	GO	hypermethylated	GO:0000124	CC	SAGA complex	26	1	0.99753649160038	1
missMethyl_gometh	GO	hypermethylated	GO:0000126	CC	transcription factor TFIIIB complex	3	1	0.615826908310225	1
missMethyl_gometh	GO	hypermethylated	GO:0000127	CC	transcription factor TFIIIC complex	6	1	0.679920196764444	1
missMethyl_gometh	GO	hypermethylated	GO:0000132	BP	establishment of mitotic spindle orientation	36	8	0.698527632729806	1
missMethyl_gometh	GO	hypermethylated	GO:0000137	CC	Golgi cis cisterna	20	3	0.614798062650397	1
missMethyl_gometh	GO	hypermethylated	GO:0000138	CC	Golgi trans cisterna	10	2	0.755054898571781	1
missMethyl_gometh	GO	hypermethylated	GO:0000139	CC	Golgi membrane	681	157	0.758450834599975	1
missMethyl_gometh	GO	hypermethylated	GO:0000140	MF	acylglycerone-phosphate reductase (NADP+) activity	1	0	1.00000000002018	1
missMethyl_gometh	GO	hypermethylated	GO:0000145	CC	exocyst	16	2	0.966060402733137	1
missMethyl_gometh	GO	hypermethylated	GO:0000146	MF	microfilament motor activity	38	13	0.20010611857026	1
missMethyl_gometh	GO	hypermethylated	GO:0000149	MF	SNARE binding	106	28	0.356256385753897	1
missMethyl_gometh	GO	hypermethylated	GO:0000150	MF	DNA strand exchange activity	2	1	0.297720359747189	1
missMethyl_gometh	GO	hypermethylated	GO:0000151	CC	ubiquitin ligase complex	346	56	0.996685520586508	1
missMethyl_gometh	GO	hypermethylated	GO:0000152	CC	nuclear ubiquitin ligase complex	47	10	0.734839243414158	1
missMethyl_gometh	GO	hypermethylated	GO:0000153	CC	cytoplasmic ubiquitin ligase complex	8	1	0.843209528640437	1
missMethyl_gometh	GO	hypermethylated	GO:0000154	BP	rRNA modification	35	3	0.941076411083527	1
missMethyl_gometh	GO	hypermethylated	GO:0000159	CC	protein phosphatase type 2A complex	17	6	0.367508949321973	1
missMethyl_gometh	GO	hypermethylated	GO:0000164	CC	protein phosphatase type 1 complex	19	6	0.262383369279721	1
missMethyl_gometh	GO	hypermethylated	GO:0000165	BP	MAPK cascade	770	230	0.000218002092245636	0.00996758954014535
missMethyl_gometh	GO	hypermethylated	GO:0000166	MF	nucleotide binding	2088	415	0.999999405332216	1
missMethyl_gometh	GO	hypermethylated	GO:0000170	MF	sphingosine hydroxylase activity	1	0	0.999999999991796	1
missMethyl_gometh	GO	hypermethylated	GO:0000171	MF	ribonuclease MRP activity	1	0	1.00000000001927	1
missMethyl_gometh	GO	hypermethylated	GO:0000172	CC	ribonuclease MRP complex	9	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000175	MF	3'-5'-RNA exonuclease activity	35	4	0.96959735566446	1
missMethyl_gometh	GO	hypermethylated	GO:0000176	CC	nuclear exosome (RNase complex)	16	2	0.728768838664862	1
missMethyl_gometh	GO	hypermethylated	GO:0000177	CC	cytoplasmic exosome (RNase complex)	16	2	0.742484963991997	1
missMethyl_gometh	GO	hypermethylated	GO:0000178	CC	exosome (RNase complex)	23	4	0.550722757285732	1
missMethyl_gometh	GO	hypermethylated	GO:0000179	MF	rRNA (adenine-N6,N6-)-dimethyltransferase activity	4	0	1	1
