method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypomethylated	GO:0030203	BP	glycosaminoglycan metabolic process	110	37	0.00350956564896356	0.292298545722601
missMethyl_gometh	GO	hypomethylated	GO:0030204	BP	chondroitin sulfate metabolic process	26	7	0.363100917382773	1
missMethyl_gometh	GO	hypomethylated	GO:0030205	BP	dermatan sulfate metabolic process	9	4	0.125582708631976	1
missMethyl_gometh	GO	hypomethylated	GO:0030206	BP	chondroitin sulfate biosynthetic process	19	7	0.131919809721652	1
missMethyl_gometh	GO	hypomethylated	GO:0030207	BP	chondroitin sulfate catabolic process	4	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030208	BP	dermatan sulfate biosynthetic process	5	2	0.37382829711747	1
missMethyl_gometh	GO	hypomethylated	GO:0030209	BP	dermatan sulfate catabolic process	4	2	0.170506372543976	1
missMethyl_gometh	GO	hypomethylated	GO:0030210	BP	heparin biosynthetic process	11	5	0.0973300529172133	1
missMethyl_gometh	GO	hypomethylated	GO:0030211	BP	heparin catabolic process	1	1	0.321602945442441	1
missMethyl_gometh	GO	hypomethylated	GO:0030212	BP	hyaluronan metabolic process	34	10	0.159214042875194	1
missMethyl_gometh	GO	hypomethylated	GO:0030213	BP	hyaluronan biosynthetic process	13	6	0.07855631472896	1
missMethyl_gometh	GO	hypomethylated	GO:0030214	BP	hyaluronan catabolic process	16	2	0.855322933596282	1
missMethyl_gometh	GO	hypomethylated	GO:0030215	MF	semaphorin receptor binding	24	10	0.0427434476817612	1
missMethyl_gometh	GO	hypomethylated	GO:0030216	BP	keratinocyte differentiation	174	54	0.000270255361600362	0.053582310807916
missMethyl_gometh	GO	hypomethylated	GO:0030217	BP	T cell differentiation	318	85	0.0176308147489144	0.742220948423433
missMethyl_gometh	GO	hypomethylated	GO:0030218	BP	erythrocyte differentiation	139	23	0.950989738288759	1
missMethyl_gometh	GO	hypomethylated	GO:0030219	BP	megakaryocyte differentiation	64	10	0.891114707600513	1
missMethyl_gometh	GO	hypomethylated	GO:0030220	BP	platelet formation	25	3	0.96782075512411	1
missMethyl_gometh	GO	hypomethylated	GO:0030221	BP	basophil differentiation	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030222	BP	eosinophil differentiation	7	1	0.850540232471821	1
missMethyl_gometh	GO	hypomethylated	GO:0030223	BP	neutrophil differentiation	11	1	0.929554172291933	1
missMethyl_gometh	GO	hypomethylated	GO:0030224	BP	monocyte differentiation	36	7	0.747236820994721	1
missMethyl_gometh	GO	hypomethylated	GO:0030225	BP	macrophage differentiation	68	6	0.997992388415615	1
missMethyl_gometh	GO	hypomethylated	GO:0030226	MF	apolipoprotein receptor activity	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030228	MF	lipoprotein particle receptor activity	18	2	0.947195052641172	1
missMethyl_gometh	GO	hypomethylated	GO:0030229	MF	very-low-density lipoprotein particle receptor activity	4	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030233	MF	deoxynucleotide transmembrane transporter activity	1	0	0.999999999947767	1
missMethyl_gometh	GO	hypomethylated	GO:0030234	MF	enzyme regulator activity	1302	269	0.676280024394794	1
missMethyl_gometh	GO	hypomethylated	GO:0030235	MF	nitric-oxide synthase regulator activity	7	4	0.135312784928736	1
missMethyl_gometh	GO	hypomethylated	GO:0030237	BP	female sex determination	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030238	BP	male sex determination	14	5	0.203391927426391	1
missMethyl_gometh	GO	hypomethylated	GO:0030239	BP	myofibril assembly	77	24	0.0330936252049983	0.96164666548999
missMethyl_gometh	GO	hypomethylated	GO:0030240	BP	skeletal muscle thin filament assembly	7	3	0.151151689059868	1
missMethyl_gometh	GO	hypomethylated	GO:0030241	BP	skeletal muscle myosin thick filament assembly	3	1	0.571610042615665	1
missMethyl_gometh	GO	hypomethylated	GO:0030242	BP	autophagy of peroxisome	16	3	0.741417911679918	1
missMethyl_gometh	GO	hypomethylated	GO:0030246	MF	carbohydrate binding	269	65	0.0330299733509694	0.96104353630535
missMethyl_gometh	GO	hypomethylated	GO:0030247	MF	polysaccharide binding	24	2	0.951226212356073	1
missMethyl_gometh	GO	hypomethylated	GO:0030249	MF	guanylate cyclase regulator activity	8	1	0.783616710676476	1
missMethyl_gometh	GO	hypomethylated	GO:0030250	MF	guanylate cyclase activator activity	7	1	0.737741665213496	1
missMethyl_gometh	GO	hypomethylated	GO:0030251	MF	guanylate cyclase inhibitor activity	1	0	1.00000000002691	1
missMethyl_gometh	GO	hypomethylated	GO:0030252	BP	growth hormone secretion	14	4	0.377133354167019	1
missMethyl_gometh	GO	hypomethylated	GO:0030258	BP	lipid modification	190	28	0.979847009697527	1
missMethyl_gometh	GO	hypomethylated	GO:0030259	BP	lipid glycosylation	11	1	0.924743802426415	1
missMethyl_gometh	GO	hypomethylated	GO:0030261	BP	chromosome condensation	47	3	0.997389553451367	1
