method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0005912	GO:0005912	adherens junction	176	0.434107745779999	1.27641073696292	0.000499162028709268	0.0130289212699924	tags=47%, list=30%, signal=33%	AJAP1/BAIAP2/CDH13/CDH2/CDH22/CDH26/CDH4/CDH6/CDH8/CTNNA2/DLG2/EZR/FRMD4A/HMCN1/PARD3/PDLIM3/SHROOM2/SHROOM3/SORBS1/TBCD/STXBP6/LYN/PARD3B/KRT18/DLG3/MAGI1/CDH11/LRRC7/CTNNA3/CCDC85A/CDH17/FLOT1/CDH20/DLG5/TJP2/CYTH3/LDB3/DLL1/CCDC85C/CDH10/CYTH1/FMN1/FAT2/MYO1E/IGSF21/XIRP1/CDH5/CTNND2/PKP1/NDRG1/PLEKHA7/PDLIM5/CRB1/APC/VCL/EPB41L5/EFNA5/CDH12/PTPRK/FRMD5/EFNB2/DSP/PTPRM/PKP4/LIN7A/EPHA4/SHROOM1/PDLIM4/BAIAP2L1/FER/SHROOM4/JUP/SPTBN4/POF1B/PKP3/FRMD4B/CNN3/FRS2/ARHGAP24/PIP5K1C/CTNND1/TJP1/TNK2
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0043270	GO:0043270	positive regulation of monoatomic ion transport	198	0.425840577107168	1.25732967224675	0.000499162028709268	0.0130289212699924	tags=55%, list=36%, signal=35%	ACTN2/ADCYAP1R1/ANK2/ANK3/CASR/FGF13/GRM6/KCNJ2/KCNQ1/RGS7/SCN5A/CAMK2A/LRRC55/NOS1/MYLK/STAC/KCNH2/MIR1-1/STK39/EPHB2/LILRA2/DMD/BDKRB1/IFNG/IL13/FGF12/EDN3/PLP1/RELN/TRDN/APLNR/FHL1/CNKSR3/CCR1/HEPH/AHCYL1/HOMER1/NOS1AP/CACNB2/PPP3R2/FXYD6/FXYD7/F2/CNTN1/NPSR1/P2RY6/HTT/CASK/FLNA/CXCR3/HSPA2/KCNMB1/SRI/TREM2/FXYD1/LILRA5/PPP3CA/P2RY1/SCN4B/CAPN3/CACNB3/ASPH/G6PD/LRRC52/AKT1/LHCGR/THY1/ATP2C2/OPRK1/CAV1/JPH2/TRPC3/CD19/TRPV3/GCG/ATP1B1/ANO6/PLA2G1B/STIM1/ABCC8/CXCL12/CCL4/CACNA1D/HCRT/LGALS3/GPD1L/SNCA/CHRM1/SCN3B/AKAP6/CCL2/MIR21/PDGFB/FXYD4/KCNC1/WNK2/TESC/FXYD3/STIM2/NTSR1/F2R/SCN2B/P2RX5/P2RX7/CXCL10/P2RX3/SLC6A4/ATP2B1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0007417	GO:0007417	central nervous system development	968	0.367138554194321	1.12949319072709	0.000499162028709268	0.0130289212699924	tags=40%, list=36%, signal=27%	ACAN/AIM2/ALK/APLP2/BCL11B/CDH2/CELSR1/CHD5/CNTN4/COL4A1/CTNNA2/DAB1/DLC1/DNER/DSCAM/DSCAML1/EGFR/EPHB1/FEZ1/FGF13/FOXP1/FYN/GAP43/GHRHR/GLI2/GRIN2A/GRIN2B/IGF1R/KIF26A/KIRREL3/KNDC1/LAMC3/MEIS2/MOG/MSI2/NAV2/NFASC/NRG1/NRG3/PAX4/PBX1/PCDH9/PHACTR1/PLXNA2/PLXNA4/POU6F2/PRKG1/PTN/ROR1/RORA/SCN5A/SEMA5A/SHROOM2/SLC6A3/SLIT1/SLIT2/SNTG2/SOX8/TNF/TOX/TRAPPC9/WASF3/WNT7A/DNAH5/NEUROD6/ARNT2/ZNF488/LYN/GRHL2/ZNF365/CX3CR1/SPOCK1/ROBO1/DCC/TMEM108/MBP/CA10/NLGN4X/BMP2/TNR/HAPLN3/AKT3/JARID2/GRIA1/ZMIZ1/NDN/TBX19/PROX1/MYO16/EPHB2/RARB/DCLK2/CHRNB2/NF1/LMX1A/SLC8A3/S100A8/MDGA2/NRCAM/GABRB1/AVPR2/S100A9/ROR2/SKI/AATK/MAP2/AFF2/NIN/HTR5A/RFX4/ZBTB16/SLC2A1/CDH11/RTN4RL1/FOXP2/SALL1/NPTX1/LAMB1/KDM4B/ROBO2/IFNG/PTPRJ/IGF2BP1/CNTN2/NR2F2/NRXN1/RTN1/CNTNAP2/ATXN1/SFRP1/CNTN6/PTCH1/TTC36/VCAN/EML1/PTPRZ1/PAX5/DRD2/NCOR2/KCNA1/ATRX/SCYL3/SERPINE2/FOXN4/C3/DMRT3/NCOA1/PLXDC1/PLP1/KCNJ10/MAS1/NEGR1/BMPR1A/RELN/DAAM2/RTN4/DISC1/DRD3/LHX6/DLG5/TACC2/PLXNA3/EXT1/ADARB1/SOX13/VIT/NEFL/GRID2/LRP5/CDK6/BTD/SEMA7A/MEIS1/ERBB4/MAPT/SEZ6/BASP1/TFAP2D/NRP2/CYP26B1/TNFRSF21/DLL1/RERE/TNFRSF1B/BMPR1B/CHST8/GDF10/SOX6/CCDC85C/TTBK1/ERBB2/AVPR1A/MNAT1/SSBP3/SCIN/ADAM23/GLI3/ADORA2A/IMMP2L/SYPL2/CUL4B/SH3GL2/C1QA/NOVA2/LHX4/TACC1/CNTN5/DUSP10/MDGA1/DRGX/WWP1/ZEB1/ALDH1A2/TBR1/XRCC1/NEUROD4/EZH2/HOXB3/GSTP1/F2/FOXR1/UPF3B/EGF/ZEB2/SH3GL3/CLUAP1/SPTBN2/CNTN1/RAB3GAP1/NRP1/SLC6A17/LEF1/FLNA/HYDIN/TRPC4/FBXW11/GPR17/NR3C1/SFRP2/GLI1/CCDC141/HERC1/ARX/TPPP/SYNGR3/TH/TREM2/NPAS2/DIXDC1/PHLPP2/NPY/BTBD3/BIN1/SEMA6D/BCL2/NDST1/TFAP2A/NCAN/PTPRS/ATP1A2/CLU/SLC1A2/AGBL4/TAL2/EFNA2/POU6F1/RECK/FCGR2B/MAG/SYNE2/FOXP3/SLC23A1/ALDH1A3/RARA/G6PD/VPS13B/IL1RAPL2/ZC4H2/CLCF1/EPHA4/LSR/KLK6/INHBA/ATP7A/INHBB/SPINK5/SHROOM4/COL2A1/HAPLN4/PROP1/NAPA/TOP2B/BMP7/FAT4/SEMA3A/OPHN1/PHOX2A/GRHL3/AQP1/NODAL/SPTBN1/HDAC1/DCT/PAX8/FGF9/ZSWIM6/MECP2/CMA1/IL1B/SPTBN4/NR0B1/ATIC/PAX6/CXCL12/SLC1A1/FRS2/IL6/CDK5RAP2/BTG2/NHEJ1/MSX1/MCPH1/CD3E/COX7B/ATP2B4/APLP1/SRD5A2/SCT/CSK/MAST1/GCM1/KCNA2/ATP6AP2/SCN2A/GRIN2C/PDGFC/CELSR2/PHF8/LIF/RBBP4/SPEF2/LOXL3/MINK1/ITGB1/INA/MACROD2/CSNK1D/FGFR2/WNT4/BPGM/FGF2/SLC4A10/PAX2/KCNC1/POMT2/BMP4/SRGAP2/TBX3/PLXNA1/GPR158/MBOAT7/VAX1/S100B/ABAT/WNT7B/SLC7A11/UCHL5/ATG16L1/ZNF148/CDH1/LRP2/SHC3/OTX2/RYK/HTR6/WNT3/PITX3/ZIC4/TGFBR2/FOXO3/WNT3A/COMT/SOX11/NGFR/WNT5A/KDM2B/DLX1/BMI1/DAB2IP/SLC6A4
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0008076	GO:0008076	voltage-gated potassium channel complex	88	0.48509755673009	1.37299642258177	0.000508320710397255	0.0132259901293868	tags=59%, list=32%, signal=40%	DLG2/DPP10/DPP6/KCNA4/KCNA6/KCNAB2/KCNB2/KCNIP1/KCNIP4/KCNJ16/KCNJ2/KCNMA1/KCNQ1/KCNQ2/KCNQ3/LRRC55/KCNH2/KCND3/KCNK1/KCNJ6/KCNMB2/KCNH5/KCNG4/KCNG2/CNTNAP2/SNAP25/KCNA1/KCNA5/KCNN1/STX1A/HCN4/KCNS3/KCNV1/KCNG1/KCNAB1/KCND2/KCNMB1/KCNE3/KCNV2/LRRC52/KCNH4/KCNB1/KCNJ4/KCNIP3/KCNQ5/KCNS2/KCNA2/KCND1/KCNF1/KCNA10/KCNMB4/KCNC1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0000463	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17	-0.494402985074627	-1.90859461769136	0.000518980348365911	0.0134184164285048	tags=100%, list=51%, signal=49%	BOP1/RBM34/GTPBP4/PPAN/RPF2/RPL7/PAK1IP1/RPL7L1/DDX18/URB1/RPL35/ZNHIT3/FTSJ3/NOL9/PES1/WDR12
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0005230	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	72	0.505181652194323	1.41249441023707	0.000517479396549912	0.0134184164285048	tags=42%, list=16%, signal=35%	CHRNA7/GABRA3/GABRA5/GABRB3/GABRE/GRID1/GRIK5/GRIN2A/GRIN2B/SLC1A7/GABRA6/GRIA1/GABRG3/CHRNA6/CHRNB2/HTR3A/GABRB1/CHRNB4/GABRD/CHRNA2/GRIN3A/GABRB2/CHRNA4/GABRR1/GRID2/GABRR2/GABRQ/HTR3D/GABRP/GRIK2
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0070509	GO:0070509	calcium ion import	77	0.490818019776702	1.37714319817207	0.000526638086934344	0.0135737252375366	tags=60%, list=32%, signal=41%	CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CASR/FCRL3/FYN/GRM6/SLC24A4/SLC8A1/CACNA2D1/SLC24A2/TRIM27/SLC8A3/CACNA1I/TRPM2/SLN/ACE/HOMER1/TRPM1/CACNB2/PPP3R2/EGF/CASK/GCK/TRPC4/PRNP/TRPV6/SLC24A5/PPP3CA/CACNA1F/ATP2C2/SLC8A2/TRPV3/GCG/MIR208B/CXCL12/CACNA1D/SEMG1/LGALS3/ATP2B4/CCL2/PDGFB/SPINK1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0007156	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	133	0.458841068881392	1.33348207433891	0.000544955479545218	0.0139583300710928	tags=37%, list=21%, signal=29%	CADM1/CADM3/CDH13/CDH2/CDH22/CDH23/CDH26/CDH4/CDH6/CDH8/CELSR1/CNTN4/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/HMCN1/IGSF11/KIRREL3/PCDH9/SDK1/SDK2/PALLD/ROBO1/PCDHGA4/PCDHA7/CD84/CDH11/ROBO2/MYOT/CNTN2/CNTN6/CDH17/CDH20/PLXNB3/CLSTN2/CDH10/L1CAM/PCDH12/FAT2/IGSF21/CDH5/ROBO4/ROBO3/PCDH7/CDH12/PCDHGA2/CLSTN1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0007043	GO:0007043	cell-cell junction assembly	152	0.449725125257831	1.31394219670713	0.000544955479545218	0.0139583300710928	tags=49%, list=31%, signal=34%	ANK2/CDH13/CDH2/CDH22/CDH26/CDH4/CDH6/CDH8/CLDN16/PARD3/PRKCA/TBCD/TNF/PRKCH/GRHL2/JAM3/CLDN18/WNT11/CLDN17/IL17A/CLDN14/EPHB2/GDF2/CDH11/HOPX/GJA5/TBX5/CNTNAP2/CDH17/CDH20/TLN2/F11R/APLNR/DLG5/CLDN4/MYO1C/ACE/IKBKB/GJB6/CDH10/ACE2/MARVELD2/CDH5/CLDN1/FSCN1/ZNF703/CLDN10/PKP1/PARD6B/CLDN2/LIM2/IRX3/APC/VCL/PTPRO/NPHP4/CDH12/NPHS1/GJC1/PKP4/LSR/FER/CAV1/FRMPD2/JUP/IL1B/POF1B/PKP3/GJA4/CLDN7/PIP5K1C/ARL2/TJP1/PAK2/NR1H4
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0043588	GO:0043588	skin development	303	0.407920214320271	1.22440446735681	0.000554114181380259	0.0141488409916413	tags=48%, list=36%, signal=31%	ADAMTS2/ATP8A2/BCL11B/COL5A1/COL6A1/EGFR/FLG/GLI2/IVL/KRT1/KRT4/LDB2/RYR1/SPRR4/TCHH/TNF/PALLD/EDAR/PRKCH/FRAS1/GRHL2/HRNR/LCE6A/SPRR2D/IL17A/SPRR2G/FLNB/LCE5A/REG3G/SPRR1A/NF1/KRT80/SCEL/WNT16/LCE1A/KRT75/KRT2/SPRR3/TGFB2/DHCR24/KRTAP6-3/FLG2/IL20/TGM3/DACT2/LGR4/EDA/LGR5/REG3A/KLK5/SLC2A10/CLDN4/KRT76/EXT1/KRT27/KRT74/LATS2/OPN3/CYP26B1/ACER1/DLL1/KRTAP6-2/SPRR1B/NSDHL/LCE4A/KRT6A/AP3B1/LCE2A/LCE3E/EZH2/CLDN1/IL1A/HOXA7/FERMT1/KRT78/PKP1/TNFRSF19/KRT72/APCDD1/NME2/IRF6/LCE3D/CSTA/BCL2/KRT3/SFN/PPP3CA/KRT82/GRHL1/KRT28/ITGB6/EXTL3/DSP/FOXN1/ASAH1/COL5A3/LSR/INHBA/ATP7A/SPRR2B/ZBED2/KRT77/KRT71/SPINK5/CLIC4/WNT10B/MSX2/IL18/GRHL3/HDAC1/KRT85/JUP/KRT73/PAX6/PKP3/KRT79/YAP1/SLC39A7/PPHLN1/MET/IGFBP5/LCE2D/ETV4/ST14/KRT6C/TMPRSS11F/FGFR2/ALX4/LIPK/ITGA2/SLC39A2/LCE1D/CD109/ALOXE3/KRT86/LCE1B/CDSN/OVOL1/ALOX12B/SLC27A4/NGFR/ERRFI1/WNT5A/TSG101
