gene	direction	n_probes	max_abs_delta_beta	min_fdr
MAP3K14	hypermethylated	1	0.3176380902275772	1.3909331346244602e-50
MAP3K7CL	hypermethylated	2	0.2223485369207942	9.95075223983324e-52
MAP3K8	hypermethylated	1	0.4223876597555269	8.411948669443357e-25
MAP4K1	hypermethylated	4	0.3363866700169638	3.538584465516376e-118
MAP4K4	hypermethylated	5	0.2833864788794075	2.0188535634841433e-118
MAP4K5	hypermethylated	1	0.2662720471802503	2.6608387686384676e-16
MAP6	hypermethylated	1	0.2254118107045933	3.3475432262585412e-71
MAP7	hypermethylated	1	0.2236914171491351	1.0251798444684265e-06
MAP7D1	hypermethylated	2	0.2146364459854483	1.0997119442913886e-117
MAPK10	hypermethylated	2	0.3435417923810849	1.508980347333363e-57
MAPK3	hypermethylated	1	0.2229413972160777	3.3933284856513404e-25
MAPK8IP3	hypermethylated	2	0.2258472854538885	1.482294815636075e-35
MAPKAPK5	hypermethylated	1	0.2075071236273338	1.0055132161684231e-75
MAPKBP1	hypermethylated	2	0.3057824997674851	6.462308915310624e-61
MARCHF1	hypermethylated	9	0.2834515275089738	3.328717135762352e-135
MARCHF10	hypermethylated	1	0.2318998380021615	1.5556554110165767e-41
MARCHF11	hypermethylated	7	0.3722283783656525	1.2195890043531175e-166
MARCHF3	hypermethylated	3	0.3372214447072793	1.992043908046886e-99
MARCHF4	hypermethylated	1	0.2204054006235747	2.2209532636564406e-112
MARCHF6	hypermethylated	1	0.2644241853794395	3.2737399540746365e-12
MARCKS	hypermethylated	2	0.2155093654273755	1.155826847503504e-113
MARK1	hypermethylated	2	0.2700875058420796	1.1108584309305792e-129
MARK2P9	hypermethylated	2	0.3332611661556001	6.5020766634734745e-62
MARK4	hypermethylated	1	0.2054708026961209	2.96790332907639e-66
MAST1	hypermethylated	11	0.4073032838253164	1.5368008895904286e-168
MAST4	hypermethylated	4	0.2574480885980941	5.917602040666922e-79
MATK	hypermethylated	1	0.220574547274451	1.2067826395839472e-71
MATN2	hypermethylated	1	0.5627468039012827	6.044527749623339e-35
MATN4	hypermethylated	2	0.2179998864950692	3.3521900647715164e-39
MATR3	hypermethylated	1	0.4532927979122508	0.0011496316993272
MBLAC1	hypermethylated	1	0.2014869582700122	8.305007489384699e-71
MBNL1	hypermethylated	3	0.2699351695644886	3.08478756408639e-141
MBNL1-AS1	hypermethylated	2	0.2699351695644886	3.08478756408639e-141
MBNL2	hypermethylated	4	0.2688923253824175	1.206776087115515e-102
MBP	hypermethylated	4	0.3078336513222521	2.7694351183854165e-73
MCAM	hypermethylated	1	0.2213350778382556	3.544121319277673e-107
MCF2	hypermethylated	1	0.2414064952379962	3.4686084037782657e-78
MCF2L	hypermethylated	9	0.42287625534122	1.1124584901381575e-78
MCF2L2	hypermethylated	4	0.3105326462144989	3.86923082172008e-120
MCHR2	hypermethylated	1	0.2045422902699439	1.22156951730088e-12
MCHR2-AS1	hypermethylated	1	0.2045422902699439	1.22156951730088e-12
MCIDAS	hypermethylated	10	0.3888587766709958	1.1487451176210988e-76
MCM7	hypermethylated	6	0.3038225048422687	5.780600330962195e-78
MCOLN2	hypermethylated	3	0.2209937245429377	2.182360026332207e-102
MCPH1	hypermethylated	4	0.3520511817884657	2.5110069983495596e-144
MCU	hypermethylated	2	0.2662932214608753	2.717676105510471e-94
MDFIC	hypermethylated	1	0.2203526483525549	5.12181513452911e-67
MDGA1	hypermethylated	3	0.4056426155874958	1.1843277458717909e-163
MDGA2	hypermethylated	1	0.2082728459737858	3.637495859208803e-106
ME3	hypermethylated	5	0.3722366098696182	1.34496351914429e-129
MEAK7	hypermethylated	5	0.3171085599247186	8.159871610937644e-102
MECOM	hypermethylated	4	0.2987447248058377	8.156412042968079e-92
MED10	hypermethylated	1	0.2086950349331069	1.02246083272081e-68
MED12L	hypermethylated	1	0.2921967509769065	3.248187758670479e-13
MED13L	hypermethylated	1	0.2318083794643635	2.622255288145313e-15
MED15P5	hypermethylated	1	0.2693196613307243	1.9586731577706695e-40
MEF2C	hypermethylated	3	0.3102509283682811	9.19086784046556e-135
MEF2C-AS1	hypermethylated	3	0.3102509283682811	9.19086784046556e-135
MEF2C-AS2	hypermethylated	23	0.5824612088864216	1.74392828139793e-186
MEF2D	hypermethylated	1	0.2476887936180501	2.063335507661655e-37
MEG3	hypermethylated	2	0.2538224469999624	3.987728278281879e-50
MEGF10	hypermethylated	1	0.2130910865532815	2.666754845154975e-66
MEGF11	hypermethylated	1	0.2331681770144629	5.836630413046817e-37
MEGF6	hypermethylated	3	0.3372422037992063	2.1168594732423653e-111
MEI1	hypermethylated	6	0.3271735472486917	1.3350403778405384e-132
MEI4	hypermethylated	2	0.2897918705447604	9.003531249500846e-72
MEIOC	hypermethylated	4	0.3286641325859825	2.8930163083490434e-86
MEIS1	hypermethylated	8	0.3656767640135057	4.637087730804887e-48
MEIS1-AS2	hypermethylated	5	0.3656767640135057	3.84197648309541e-23
MEIS1-AS3	hypermethylated	2	0.2611745129874288	4.637087730804887e-48
MEIS2	hypermethylated	4	0.3886685058887014	8.18577008101504e-86
MEIS3	hypermethylated	1	0.218322954567271	1.3672321389941296e-18
MEOX1	hypermethylated	3	0.2354699101428731	3.833655596472295e-86
MEOX2	hypermethylated	3	0.2853819839291998	1.2228398435121804e-128
MERTK	hypermethylated	3	0.2994008852359219	5.549643793031618e-105
MEST	hypermethylated	2	0.2527899868185063	5.913420743528784e-40
MESTIT1	hypermethylated	2	0.2527899868185063	5.913420743528784e-40
METRNL	hypermethylated	1	0.2210243528177335	2.2357241885669274e-48
METTL21A	hypermethylated	2	0.431706442590888	2.1888374333627598e-70
METTL21EP	hypermethylated	2	0.362886222529017	4.6555169390793786e-82
METTL24	hypermethylated	5	0.2500330750615056	1.3803354670243357e-108
METTL7A	hypermethylated	2	0.2679029680599717	2.835096708028163e-106
MEX3A	hypermethylated	1	0.2112148519132641	5.6047333538678585e-52
MFAP4	hypermethylated	1	0.2062913394318289	1.1465523236565274e-82
MFGE8	hypermethylated	1	0.2226281819927812	6.989992319329075e-88
MFRP	hypermethylated	2	0.3390095691476319	2.9885180069397317e-107
MFSD1	hypermethylated	3	0.2571407849946489	2.947462014276509e-96
MFSD12	hypermethylated	1	0.2220494174133203	1.225179255143774e-38
MFSD2B	hypermethylated	1	0.2830514260635516	1.3293429036694972e-46
MFSD4A	hypermethylated	2	0.3021718468851835	1.5716706133344508e-65
MGA	hypermethylated	1	0.2928652326430249	1.2639511691491628e-104
MGARP	hypermethylated	7	0.3067639613711678	4.0516466492747446e-163
MGAT1	hypermethylated	3	0.2325547806844724	4.023712943171387e-110
MGAT3	hypermethylated	1	0.2259378953265719	6.571714689921878e-57
MGAT4D	hypermethylated	1	0.2184042715014238	2.65521214329128e-104
MGAT5	hypermethylated	2	0.2313675603775727	2.0375105975441348e-76
MGAT5B	hypermethylated	3	0.3569107854318293	3.091478783466714e-112
MGLL	hypermethylated	7	0.3727081473325156	3.043309118029172e-149
MGMT	hypermethylated	4	0.3278528389723811	6.674178450519619e-57
MGST2	hypermethylated	5	0.4072509026545117	2.1989570780473798e-83
MIAT	hypermethylated	4	0.3043853622743381	3.4368273052185597e-127
MIB2	hypermethylated	2	0.2303434107921891	1.6109278196530263e-40
MICAL2	hypermethylated	3	0.2548732997456721	6.872480036432213e-76
MICOS10	hypermethylated	1	0.2812659289352228	3.705413055909071e-63
MICU3	hypermethylated	1	0.3945883089507269	3.6794316628363186e-94
MIDEAS	hypermethylated	1	0.4490795074173094	1.0560306780933204e-46
MIEF1	hypermethylated	1	0.2256746814026811	9.1370738824257e-107
MINDY4	hypermethylated	1	0.2104414406992614	5.677843220771885e-55
MINK1	hypermethylated	1	0.21820892138494	4.419892707409229e-69
MIR1-1HG	hypermethylated	1	0.2346316111406769	3.556662188309065e-83
MIR1-1HG-AS1	hypermethylated	1	0.2346316111406769	3.556662188309065e-83
MIR100HG	hypermethylated	3	0.5504428523202096	5.7661472941472275e-108
MIR106B	hypermethylated	1	0.2025288453538944	1.5959524199578345e-71
MIR1180	hypermethylated	4	0.2423445331586859	1.3247807614631712e-48
MIR124-1HG	hypermethylated	4	0.2992948980832452	3.184723319626966e-178
MIR124-2	hypermethylated	8	0.4709866369605081	8.362906385468203e-122
MIR124-2HG	hypermethylated	15	0.4709866369605081	8.362906385468203e-122
MIR124-3	hypermethylated	6	0.3029940612111636	1.5101101601976644e-95
MIR1258	hypermethylated	1	0.2855813251227233	1.0106414371705252e-141
MIR125B1	hypermethylated	2	0.3981575957837234	5.7661472941472275e-108
MIR1276	hypermethylated	3	0.2800069111891614	6.467390543973425e-105
MIR1286	hypermethylated	2	0.2435511618719387	5.548228251117273e-74
MIR129-2	hypermethylated	10	0.4561335382637176	3.4561441002016e-221
MIR1302-3	hypermethylated	1	0.2045825424602538	1.1014790200349298e-63
MIR137	hypermethylated	2	0.2511662831567576	4.3357340067117034e-119
MIR137HG	hypermethylated	5	0.2511662831567576	4.495281989397505e-138
MIR145	hypermethylated	1	0.2121593739790749	4.7492425611298885e-60
MIR1537	hypermethylated	1	0.2130994981578833	3.874817866712629e-66
MIR155HG	hypermethylated	3	0.2494118253210285	1.5452833656306301e-66
MIR181C	hypermethylated	2	0.4048581245784493	2.1557442490795313e-109
MIR181D	hypermethylated	1	0.4048581245784493	2.1557442490795313e-109
MIR184	hypermethylated	2	0.4634760087587405	1.2773451578092195e-60
MIR1914	hypermethylated	1	0.2660705915844167	3.6964041051248744e-43
MIR195	hypermethylated	3	0.3459111610462268	1.1101958033728263e-100
MIR196A1	hypermethylated	3	0.3729142426142473	8.333301993241458e-99
MIR199A2	hypermethylated	4	0.2337554787856761	1.8871168025935196e-32
MIR202HG	hypermethylated	1	0.2711186879912048	2.2182841104274328e-08
MIR219A1	hypermethylated	4	0.2638907468290817	7.647357094818409e-103
MIR25	hypermethylated	4	0.2462036069124004	5.780600330962195e-78
MIR2682	hypermethylated	5	0.2511662831567576	4.495281989397505e-138
MIR26B	hypermethylated	1	0.2231333142690911	3.526410945011045e-90
MIR3150B	hypermethylated	3	0.3710472319924628	7.890068658824675e-66
MIR3150BHG	hypermethylated	3	0.3710472319924628	7.890068658824675e-66
MIR3185	hypermethylated	4	0.3197656188210724	5.60907247966772e-100
MIR3193	hypermethylated	1	0.2328291149326591	9.221812721807408e-78
MIR3197	hypermethylated	1	0.2873787417813629	9.09710757213671e-50
MIR34A	hypermethylated	1	0.2137458011552073	4.7811702585495476e-61
MIR34AHG	hypermethylated	2	0.2213112323260875	1.4800441831685737e-85
MIR34B	hypermethylated	1	0.2389228214330627	4.2020138095889714e-67
MIR34C	hypermethylated	1	0.2389228214330627	4.2020138095889714e-67
MIR3649	hypermethylated	2	0.4085525076943697	2.242871701921996e-129
MIR3663HG	hypermethylated	5	0.2931235047412894	5.704644759568678e-145
MIR3681HG	hypermethylated	3	0.3372920303215146	6.048976208967886e-68
MIR4281	hypermethylated	1	0.216940863638635	1.3483318610489534e-68
MIR4500HG	hypermethylated	3	0.3269152105027819	2.0799160308025003e-79
MIR4520-1	hypermethylated	1	0.231550598780919	2.6002536400026807e-55
MIR4520-2	hypermethylated	1	0.231550598780919	2.6002536400026807e-55
MIR4713HG	hypermethylated	4	0.39811856920595	1.8054068772965764e-161
MIR4740	hypermethylated	1	0.2248542034706954	8.163853666199449e-67
MIR4783	hypermethylated	1	0.2169238908783038	1.8479446337482416e-107
MIR4785	hypermethylated	2	0.3216562012087149	7.629357999397763e-57
MIR4800	hypermethylated	1	0.2189803117197248	4.4110472462709285e-41
MIR497	hypermethylated	2	0.3459111610462268	2.638763423992022e-69
MIR497HG	hypermethylated	3	0.3459111610462268	1.1101958033728263e-100
MIR503	hypermethylated	2	0.2066613927594064	2.8962953068573264e-36
MIR503HG	hypermethylated	2	0.2066613927594064	2.8962953068573264e-36
MIR5193	hypermethylated	1	0.2281587018935228	1.5319365211525458e-63
MIR584	hypermethylated	2	0.2404160473371538	2.680815025268675e-95
MIR589	hypermethylated	1	0.2263421599345554	6.845408643232101e-33
MIR6068	hypermethylated	2	0.3704076606975909	4.4054073832240564e-111
MIR6090	hypermethylated	3	0.2491241962174776	5.992190260407916e-101
MIR6132	hypermethylated	2	0.3920811007017171	8.059137862062086e-121
MIR647	hypermethylated	1	0.2660705915844167	3.6964041051248744e-43
MIR6504	hypermethylated	1	0.2347417045854876	1.186826547358316e-88
MIR661	hypermethylated	1	0.200558616835762	2.445707831019496e-40
MIR663A	hypermethylated	7	0.5250118645452466	3.31998238317082e-175
MIR663AHG	hypermethylated	8	0.5250118645452466	3.31998238317082e-175
MIR6720	hypermethylated	1	0.2754400973228216	1.1754455319200807e-127
MIR6841	hypermethylated	1	0.2024344900332018	3.360083716443249e-94
MIR6843	hypermethylated	1	0.2049529422683857	2.985352322063172e-30
MIR7-3HG	hypermethylated	2	0.2881957859726426	8.416792311635034e-100
MIR9-1	hypermethylated	3	0.3483324536693675	8.1353325009645535e-137
MIR9-1HG	hypermethylated	6	0.3483324536693675	8.1353325009645535e-137
MIR9-3	hypermethylated	4	0.2358204041853317	2.4108061311463e-116
MIR9-3HG	hypermethylated	13	0.3652702970516072	2.962263689688083e-126
MIR93	hypermethylated	2	0.2208224223521954	5.641359460087363e-77
MIR935	hypermethylated	3	0.2293669810138431	7.998901925820014e-97
MIR944	hypermethylated	1	0.2490747931318095	6.698200075034122e-45
MIRLET7BHG	hypermethylated	2	0.2444952901728121	5.472377756142411e-53
MIXL1	hypermethylated	1	0.2037563793170763	8.898649566047734e-92
MKLN1	hypermethylated	1	0.2277274250538285	4.361594999564219e-63
MKNK1	hypermethylated	1	0.3979813263032127	4.068822379449833e-94
MKNK1-AS1	hypermethylated	5	0.3575419974625083	1.7206308579380557e-154
MKX	hypermethylated	1	0.2203484878680243	1.8783960451988668e-93
MKX-AS1	hypermethylated	1	0.2203484878680243	1.8783960451988668e-93
MLC1	hypermethylated	1	0.2052768606994598	3.92272109354981e-78
MLH1	hypermethylated	1	0.2554751611038631	4.9128656728147294e-18
MLH3	hypermethylated	1	0.2957129005728097	3.053242742305069e-22
MLIP	hypermethylated	1	0.202835462022338	4.548152231615531e-29
MLLT1	hypermethylated	1	0.2198779263321031	1.1391691511104495e-82
MLLT10	hypermethylated	2	0.209588083991625	5.318677714573715e-89
MLLT11	hypermethylated	1	0.2047228770848926	4.8137617398581264e-61
MLNR	hypermethylated	1	0.2515833522299403	7.516154415860752e-65
MMADHC-DT	hypermethylated	1	0.2229803240871484	1.4832740036206758e-42
MMD2	hypermethylated	1	0.2700570526236403	1.1556558839007554e-102
MME	hypermethylated	3	0.2736171488266153	1.7472734089851898e-97
MMEL1	hypermethylated	1	0.2614300122641948	5.6801923500161555e-58
MMP14	hypermethylated	3	0.2792976997187853	4.3578751175689513e-100
MMP2	hypermethylated	1	0.2345182758843243	5.509822137303272e-46
MMP23B	hypermethylated	5	0.3353254027214191	2.8785187184573856e-97
MMP28	hypermethylated	2	0.2337895169885449	1.1296471890307602e-81
MMP9	hypermethylated	2	0.4794806035520454	1.6989769661736038e-144
MMRN2	hypermethylated	2	0.2169694858376863	5.693470301765193e-72
MN1	hypermethylated	1	0.2101081127882833	5.667281969798636e-113
MNT	hypermethylated	1	0.2161606525839418	4.487884280997556e-91
MNX1	hypermethylated	13	0.3469989572504851	1.7869926948452965e-98
MNX1-AS2	hypermethylated	2	0.2291112335955618	1.2587020456870204e-30
MOB1B	hypermethylated	1	0.2593896916482301	6.516872688687067e-48
MOB3A	hypermethylated	1	0.21119032999826	8.666945166114181e-43
MOB3C	hypermethylated	1	0.3979813263032127	4.068822379449833e-94
MOG	hypermethylated	2	0.3717932543333839	0.001686712432253
MOGAT3	hypermethylated	2	0.2387283185538026	1.3889859934993146e-126
MORF4L1	hypermethylated	2	0.3054540874093353	1.6208598430091826e-103
MORN1	hypermethylated	3	0.2568010329727876	1.9104023712191125e-88
MOS	hypermethylated	2	0.3048621321363982	2.9973060677533512e-123
MOV10L1	hypermethylated	2	0.2432213768758993	1.6902679539720938e-38
MPDU1	hypermethylated	2	0.2373651586327233	5.84797497221438e-75
MPG	hypermethylated	1	0.2781105042001084	6.18733205339696e-50
MPI	hypermethylated	1	0.2305887214260615	1.676758207179893e-75
MPP4	hypermethylated	1	0.2060293266515841	1.2656923921457175e-60
MPP5	hypermethylated	1	0.3232366831338134	9.682892469013451e-50
MPP6	hypermethylated	2	0.2337318612420281	2.4008948988944342e-98
MPPED2	hypermethylated	5	0.3097151882107413	6.267060159659982e-107
MPPED2-AS1	hypermethylated	5	0.3097151882107413	6.267060159659982e-107
MPRIP	hypermethylated	2	0.2039308379554602	8.561175987440959e-48
MPZ	hypermethylated	2	0.4099490806119605	5.126607668254838e-192
MPZL1	hypermethylated	1	0.2851931542763674	9.525494839805493e-72
MRAP2	hypermethylated	1	0.2050089892736744	7.9402038701779265e-56
MRC2	hypermethylated	1	0.2002832593174869	3.5205118566301167e-41
MRGPRF	hypermethylated	2	0.2267957144683337	6.0839281065764315e-115
MRGPRF-AS1	hypermethylated	2	0.2267957144683337	6.0839281065764315e-115
MROH5	hypermethylated	1	0.2631063491479741	7.343567121510287e-38
MROH6	hypermethylated	3	0.3638149520583304	2.8471276785550147e-133
MRPL2	hypermethylated	2	0.2414592978234245	6.932952112339135e-69
MRPL23	hypermethylated	1	0.2131776260932218	5.643277646842201e-66
MRPL28	hypermethylated	1	0.2237074399048203	3.9913390280015634e-28
MRPL33	hypermethylated	3	0.4491146816386305	1.0877757162743342e-85
MRPL44	hypermethylated	1	0.4235960572939181	1.4560212587446897e-142
MRPS22	hypermethylated	1	0.2008693905262931	1.043425878826596e-13
MRTO4	hypermethylated	1	0.2016490621066204	1.590163882417575e-71
MSANTD3-TMEFF1	hypermethylated	1	0.2431559501095186	3.954940073575806e-89
MSC	hypermethylated	12	0.3251062707970482	5.214931556372911e-135
MSC-AS1	hypermethylated	12	0.3251062707970482	5.214931556372911e-135
MSH2	hypermethylated	2	0.2726235978678903	1.911316245636119e-134
MSI1	hypermethylated	1	0.212314151839139	1.4331998407087901e-59
MSI2	hypermethylated	2	0.4032117128372192	1.331521111606619e-51
MSLN	hypermethylated	1	0.3066807326740674	2.9141261816800233e-46
MSR1	hypermethylated	1	0.2789853832618935	4.202143041178841e-53
MSRB3	hypermethylated	1	0.2269644770741016	1.842208531728035e-64
MSX1	hypermethylated	2	0.2311678533951695	7.259402832032946e-49
MSX2P1	hypermethylated	1	0.2523091519059319	2.8614230440981063e-112
MT1L	hypermethylated	1	0.2511992391449356	9.540847992955654e-45
MT3	hypermethylated	2	0.3333916151168297	3.739961098922792e-115
MTERF3	hypermethylated	1	0.2198952976673857	1.2846922681028575e-54
MTHFD1L	hypermethylated	1	0.2502580442934094	1.6271066188073795e-82
MTMR10	hypermethylated	1	0.2611885106100416	8.148204733928367e-94
MTMR9LP	hypermethylated	3	0.5134426625410518	3.511849939083833e-120
MTNR1B	hypermethylated	5	0.3109323783561388	2.2114112294985103e-87
MTRR	hypermethylated	3	0.2201984516935157	2.8836598492611366e-91
MTSS1	hypermethylated	1	0.262859363872362	1.2557316249772447e-79
MTSS2	hypermethylated	1	0.2672729012301271	1.1037062037999369e-29
MTUS1	hypermethylated	4	0.3441152474111761	7.931845338224007e-29
MUSTN1	hypermethylated	1	0.2005060964982565	2.41393207237182e-40
MX1	hypermethylated	2	0.2315890115573374	9.305042945383937e-92
MXD4	hypermethylated	1	0.2189803117197248	4.4110472462709285e-41
MXRA7	hypermethylated	5	0.4590910453283441	3.286178939801179e-83
MXRA8	hypermethylated	4	0.2967571674832021	3.7139224987906557e-94
MYBPC1	hypermethylated	3	0.3129295684616776	8.524307304731118e-51
MYCBP2	hypermethylated	1	0.2057050773464801	2.846123778778387e-56
MYCLP1	hypermethylated	1	0.2234350153730763	7.447170743669741e-73
MYEF2	hypermethylated	1	0.2031673276329513	8.074286883943557e-73
MYF5	hypermethylated	1	0.2078554949747447	3.1394539990944967e-53
MYF6	hypermethylated	4	0.3868066870574432	7.703810394401179e-95
MYH10	hypermethylated	1	0.3967234076399586	7.905154494432563e-50
MYH11	hypermethylated	2	0.2992820303472441	2.8732766993374324e-97
MYH14	hypermethylated	2	0.2502441742590884	8.908542246501607e-92
MYH7B	hypermethylated	1	0.2209151867457798	5.523527836462776e-47
MYH9	hypermethylated	1	0.2370647163087337	1.0810439452211824e-87
MYL6	hypermethylated	1	0.3913487135523474	2.597374726750108e-13
MYL9	hypermethylated	2	0.2097732174243788	1.356530822501285e-50
MYLK	hypermethylated	7	0.281388880048181	2.0641489472068462e-90
MYLK-AS1	hypermethylated	1	0.2427991811157769	1.0514686402872043e-55
MYLK3	hypermethylated	2	0.2855042282225903	9.284993495810803e-78
MYO10	hypermethylated	1	0.2663178525876368	2.123282415287054e-34
MYO15A	hypermethylated	1	0.2180865580854735	3.261529997212126e-88
MYO15B	hypermethylated	4	0.3972587881518688	5.582874468223255e-78
MYO16	hypermethylated	2	0.2660640611175868	3.758800063042949e-135
MYO1B	hypermethylated	2	0.3241744908185432	9.44858505391859e-75
MYO1D	hypermethylated	2	0.2072695773220886	6.848975312666149e-83
MYO1E	hypermethylated	1	0.2109157390512344	3.0955481269490905e-64
MYO3A	hypermethylated	5	0.3543364098523645	1.1551608784965431e-136
MYO5C	hypermethylated	2	0.2973889605902927	1.640045696887829e-96
MYO9B	hypermethylated	1	0.2874072345876695	2.630530383238714e-74
MYOD1	hypermethylated	3	0.3015738094883242	5.095522705605313e-116
MYORG	hypermethylated	1	0.218936244252591	9.432589383413767e-40
MYPN	hypermethylated	1	0.2039290773488997	4.987348963269151e-15
MYRF	hypermethylated	1	0.327157420127965	1.0828862955790874e-44
N4BP1	hypermethylated	2	0.5300456800222205	1.8358316972968332e-22
N4BP2L1	hypermethylated	2	0.2813522817102658	1.4342876401161647e-88
NAALAD2	hypermethylated	2	0.2066554567529767	4.7656840689574857e-64
NAALADL1	hypermethylated	5	0.3039626865634806	9.649819027692674e-84
NAALADL2	hypermethylated	3	0.3749779492655918	3.305038172173084e-58
NACAD	hypermethylated	2	0.2464870731822548	3.291538557872889e-115
NAGS	hypermethylated	3	0.2253924617692508	1.6887341744875523e-60
NANOG	hypermethylated	1	0.2534976600365709	5.689708848247061e-56
NANOS3	hypermethylated	4	0.4048581245784493	1.932580801496972e-148
NAPRT	hypermethylated	1	0.2679166628519694	0.0005722317930981
NAT10	hypermethylated	1	0.2024841114197171	4.073052016452996e-65
NAT16	hypermethylated	1	0.2655537102377717	1.4827599938431609e-106
NAT8L	hypermethylated	1	0.2343710186113968	1.488254284984022e-65
NAV2	hypermethylated	1	0.3198948297524598	1.4333665053731416e-82
NAV3	hypermethylated	1	0.2621601162478586	7.585057463794551e-60
NAXD	hypermethylated	2	0.2918470790017762	1.5619096088270934e-47
NBEA	hypermethylated	4	0.3544924151801552	1.694331155511949e-55
NBEAL2	hypermethylated	2	0.3334980203145606	6.350405557281614e-38
NCALD	hypermethylated	2	0.4234053496901947	2.1080379799578288e-85
NCAM2	hypermethylated	2	0.2239763275374788	5.4561487959834595e-71
NCAN	hypermethylated	1	0.2955876763936808	3.653887218403495e-132
NCAPG2	hypermethylated	1	0.2148385924064441	2.5978738669883007e-123
NCK1	hypermethylated	1	0.2660253034548813	2.3150916310573203e-73
NCK2	hypermethylated	2	0.3284591671324124	3.9001262571269566e-48
NCKAP5	hypermethylated	2	0.2937994517191458	1.5813731480085156e-99
NCKAP5-AS2	hypermethylated	2	0.2937994517191458	1.5813731480085156e-99
NCKAP5L	hypermethylated	1	0.2392280189621252	3.0436247906502448e-68
NCOR2	hypermethylated	16	0.447815180896869	1.2189780508481956e-95
NCS1	hypermethylated	1	0.2076568467786044	8.104407517395012e-86
NDEL1	hypermethylated	1	0.3967234076399586	7.905154494432563e-50
NDNF	hypermethylated	1	0.2607468927711357	3.612286942936265e-118
NDRG2	hypermethylated	3	0.3310894470749807	5.560660853199195e-114
NDUFA13	hypermethylated	5	0.3180318388144103	1.3964234995092162e-72
NDUFAF6	hypermethylated	3	0.3710472319924628	7.890068658824675e-66
NDUFC1	hypermethylated	7	0.3067639613711678	4.0516466492747446e-163
NDUFC2-KCTD14	hypermethylated	2	0.2682288688653602	2.0269621772041537e-107
NDUFS2	hypermethylated	3	0.2496116310344452	3.008232111301514e-91
NDUFS4	hypermethylated	1	0.2077278543936344	5.126343403894904e-42
NECAB1	hypermethylated	2	0.2149993823598087	1.429449304591394e-68
NECAB2	hypermethylated	1	0.4269568361425095	5.315453935758866e-37
NECTIN1	hypermethylated	1	0.2620728224372587	1.4200175536281358e-61
NECTIN3	hypermethylated	2	0.3293566327867708	6.947836474082182e-123
NECTIN3-AS1	hypermethylated	2	0.3293566327867708	6.947836474082182e-123
NEDD9	hypermethylated	3	0.2899641130730207	2.94496709405783e-103
NEFH	hypermethylated	5	0.2802032358925092	2.5266677569367553e-115
NEFL	hypermethylated	5	0.289811801153516	8.87546740954857e-148
NEFM	hypermethylated	18	0.4281722522871672	1.2469483317691829e-176
NEK7	hypermethylated	1	0.202219057698078	2.4421979936547566e-62
NELL1	hypermethylated	5	0.2762601567422318	2.5526637823185847e-96
NEPRO	hypermethylated	1	0.2048343826642567	1.6374907020532232e-86
NES	hypermethylated	5	0.47755125341425	1.000262075838808e-118
NETO1	hypermethylated	8	0.3790076411154019	4.4004778879490864e-182
NEURL1	hypermethylated	3	0.2574554822308409	3.157993291943967e-75
NEURL2	hypermethylated	2	0.3455087032639043	8.328799266151085e-89
NEURL4	hypermethylated	2	0.3457868165607693	1.4000862323078807e-60
NEUROD1	hypermethylated	14	0.4074397902655449	2.799390763529219e-168
NEUROD2	hypermethylated	4	0.2648546753785828	2.114095053517164e-118
NEUROG2-AS1	hypermethylated	2	0.3095076608442185	2.587201790324741e-171
NEUROG3	hypermethylated	4	0.2473672226915977	3.520148441087396e-146
NEXN	hypermethylated	4	0.269107299291787	1.3028896481543818e-66
NEXN-AS1	hypermethylated	4	0.269107299291787	1.3028896481543818e-66
NFAM1	hypermethylated	2	0.2398223351933208	1.3795531127999521e-86
NFATC1	hypermethylated	2	0.2685559051385201	3.9766467445609203e-72
NFATC2	hypermethylated	3	0.2192474962444529	1.9107289548027228e-36
NFATC3	hypermethylated	2	0.2324627104935006	4.2613297941873135e-87
NFATC4	hypermethylated	1	0.2494341122548965	4.70505949553952e-63
NFE2L1	hypermethylated	1	0.2035592669176101	3.9899148646514955e-45
NFE2L2	hypermethylated	1	0.3162592172622681	2.8145426898466175e-93
NFIA	hypermethylated	2	0.2494680294158923	1.3627093749300988e-41
NFIB	hypermethylated	4	0.3412345589036134	5.9130015503346965e-84
NFIC	hypermethylated	2	0.2328757541121224	1.3015064730917476e-34
NFIL3	hypermethylated	3	0.3811426940430337	1.879119813743039e-155
NFIX	hypermethylated	14	0.340703315354025	2.749267695673324e-108
NFKBIL1	hypermethylated	1	0.3028309455914302	3.7049570222935574e-57
NFU1	hypermethylated	1	0.2432467674555566	1.385936975620754e-74
NFYC	hypermethylated	1	0.2985028749406455	2.07206855406606e-127
NGB	hypermethylated	4	0.2269347266336963	1.79994154898772e-98
NGDN	hypermethylated	1	0.2028786335403864	2.0308816597665825e-91
NGEF	hypermethylated	4	0.2501909127038343	1.5071789890369528e-98
NGF	hypermethylated	2	0.2110905046147101	3.0751166008542283e-97
NGF-AS1	hypermethylated	2	0.2110905046147101	3.0751166008542283e-97
NGFR	hypermethylated	1	0.24950403588398	6.239137901304297e-83
NHLRC4	hypermethylated	2	0.2575875968057575	1.8266054190693326e-90
NHSL1	hypermethylated	6	0.3373467260932945	2.2015793658603496e-66
NIBAN3	hypermethylated	1	0.2660011262653579	3.5156349428329355e-48
NID1	hypermethylated	7	0.2919232599172237	2.0592072647051223e-112
