gene	direction	n_probes	max_abs_delta_beta	min_fdr
AC004837.1	hypermethylated	5	0.4926053526964538	5.4041406447446155e-108
AC004837.3	hypermethylated	5	0.4926053526964538	5.4041406447446155e-108
AC004846.1	hypermethylated	1	0.2294406749919191	5.788765982965835e-44
AC004882.1	hypermethylated	2	0.2933689698234923	7.123509623790442e-101
AC004882.2	hypermethylated	2	0.2933689698234923	7.123509623790442e-101
AC004943.2	hypermethylated	2	0.2629960446584714	1.315768473443236e-84
AC004974.1	hypermethylated	1	0.3189957298145465	1.4615526670305269e-84
AC005041.1	hypermethylated	3	0.2945955692304037	3.4176388387038772e-77
AC005041.2	hypermethylated	1	0.2274118183797283	5.2304048608632445e-59
AC005041.4	hypermethylated	3	0.2945955692304037	3.4176388387038772e-77
AC005042.1	hypermethylated	1	0.2752167953305664	2.318232991500106e-68
AC005064.1	hypermethylated	4	0.2420575127252418	6.626349248668081e-73
AC005082.1	hypermethylated	1	0.2017631712866404	1.6311721143733618e-23
AC005082.2	hypermethylated	1	0.2017631712866404	1.6311721143733618e-23
AC005224.1	hypermethylated	1	0.2396504050394589	1.4080785208348109e-33
AC005229.4	hypermethylated	2	0.4163973120038953	7.394342405619236e-79
AC005252.4	hypermethylated	1	0.2516786798873449	3.1065621872167744e-60
AC005258.1	hypermethylated	4	0.27770454040517	7.805945078618926e-99
AC005261.4	hypermethylated	1	0.226151320385753	6.823244090888815e-69
AC005274.1	hypermethylated	2	0.2060907247974562	1.9812183582649396e-67
AC005481.1	hypermethylated	2	0.2538704503038866	7.183040459511792e-73
AC005520.2	hypermethylated	1	0.4490795074173094	1.0560306780933204e-46
AC005537.1	hypermethylated	3	0.288454588139424	2.137268806952837e-147
AC005586.1	hypermethylated	4	0.460714290777697	3.2746570588673474e-66
AC005597.1	hypermethylated	12	0.30920732113115	2.3817903348689354e-137
AC005599.1	hypermethylated	4	0.2714847079500037	1.4288309731840192e-118
AC005606.2	hypermethylated	6	0.3446855042024153	7.567884998856331e-151
AC005609.1	hypermethylated	3	0.3706534076260243	3.2014744297983284e-46
AC005609.5	hypermethylated	11	0.3889236932706514	1.6894441942917994e-82
AC005622.1	hypermethylated	3	0.4314317815733581	2.8581978589666416e-174
AC005703.3	hypermethylated	1	0.2826079525289369	1.5865162045937502e-54
AC005726.1	hypermethylated	3	0.2604316217380051	1.156381819848032e-64
AC005740.5	hypermethylated	2	0.2632156298463117	2.272812539537438e-106
AC005746.2	hypermethylated	4	0.2940947552205048	1.7926794600335775e-98
AC005775.1	hypermethylated	4	0.2849328785613071	3.532406714003204e-132
AC005786.1	hypermethylated	1	0.2220494174133203	1.225179255143774e-38
AC005786.4	hypermethylated	1	0.2220494174133203	1.225179255143774e-38
AC005790.1	hypermethylated	2	0.2277452892008267	1.2413361132391305e-119
AC005796.1	hypermethylated	1	0.253886504055634	1.7113076447076953e-102
AC005821.1	hypermethylated	1	0.2318998380021615	1.5556554110165767e-41
AC005833.2	hypermethylated	4	0.3080435489836657	3.566060365949065e-135
AC005837.4	hypermethylated	2	0.2365754152473203	2.9591123760198927e-75
AC005856.1	hypermethylated	1	0.2131382243925704	7.08728271584449e-19
AC005865.1	hypermethylated	1	0.205109353095135	8.455810036118474e-47
AC005888.1	hypermethylated	4	0.4368803810964234	8.437256888287408e-135
AC005906.2	hypermethylated	3	0.2856747395585805	1.632791353395716e-156
AC006058.2	hypermethylated	2	0.4861103766104754	4.0053288686352106e-105
AC006058.3	hypermethylated	1	0.2540674032674783	6.135942144447471e-85
AC006059.2	hypermethylated	1	0.2626856310034754	1.2744256907483237e-65
AC006063.4	hypermethylated	1	0.2665240910396042	2.792731767610844e-138
AC006115.2	hypermethylated	2	0.4084529257657235	6.807699429700606e-102
AC006230.1	hypermethylated	5	0.293099964931414	1.1178369667193434e-116
AC006254.1	hypermethylated	1	0.2005060964982565	2.41393207237182e-40
AC006348.1	hypermethylated	6	0.292603280369731	2.4599284286493486e-137
AC006450.2	hypermethylated	1	0.3603359006239136	6.453606680682483e-68
AC006452.1	hypermethylated	1	0.2095465933266965	5.41038982296989e-30
AC006487.1	hypermethylated	2	0.24950403588398	6.239137901304297e-83
AC006487.2	hypermethylated	1	0.2068792546460571	3.418530363226143e-65
AC006511.4	hypermethylated	1	0.3609789201704687	2.2684623046555372e-70
AC006971.1	hypermethylated	1	0.2022255159424015	7.774805868368314e-86
AC006994.1	hypermethylated	4	0.2708631388183123	1.926828947849207e-110
AC007040.2	hypermethylated	4	0.3929608092825792	1.4043183361398372e-69
AC007091.1	hypermethylated	1	0.2070439344036129	5.064082730340675e-29
AC007098.1	hypermethylated	3	0.2487574260169299	1.371136348952972e-87
AC007099.1	hypermethylated	1	0.2608707195052364	3.578482934066425e-24
AC007128.1	hypermethylated	1	0.2117083527374152	6.00322155549713e-26
AC007216.1	hypermethylated	1	0.2832673240475775	4.350214425867274e-81
AC007222.2	hypermethylated	3	0.3371997617044106	5.862921267233952e-154
AC007223.1	hypermethylated	2	0.3123795076494939	5.134798858386877e-153
AC007225.1	hypermethylated	2	0.2855042282225903	9.284993495810803e-78
AC007271.1	hypermethylated	1	0.3679447515882107	2.39272892193594e-88
AC007277.1	hypermethylated	1	0.2144011066531281	5.614805070619708e-70
AC007319.1	hypermethylated	3	0.2389478090345551	2.004991592091132e-79
AC007326.1	hypermethylated	2	0.2386600059799001	2.573691895634864e-27
AC007351.3	hypermethylated	1	0.2044422525198348	4.91511426303043e-59
AC007351.4	hypermethylated	1	0.2044422525198348	4.91511426303043e-59
AC007368.1	hypermethylated	4	0.4368803810964234	8.437256888287408e-135
AC007375.2	hypermethylated	3	0.2299304609261293	1.5711986373866054e-71
AC007375.3	hypermethylated	1	0.2299304609261293	1.5711986373866054e-71
AC007391.3	hypermethylated	1	0.3847281717139442	8.271095592286703e-61
AC007402.1	hypermethylated	3	0.3691312397644847	4.243547725100011e-160
AC007405.1	hypermethylated	5	0.3647848547995731	1.05034835906892e-116
AC007405.2	hypermethylated	3	0.3030200153358138	6.143387870585092e-139
AC007405.4	hypermethylated	2	0.2393474954226775	2.29289524718664e-74
AC007450.4	hypermethylated	1	0.2058868461152577	5.742077592780214e-65
AC007461.1	hypermethylated	5	0.3655317686009033	8.506087756000007e-161
AC007491.1	hypermethylated	2	0.383937368719687	9.629913199934773e-110
AC007541.1	hypermethylated	3	0.3293227434969346	1.26095400851578e-66
AC007563.2	hypermethylated	1	0.204060531447767	2.636998109268048e-53
AC007601.1	hypermethylated	1	0.3129731896618825	3.2659487795796064e-23
AC007608.3	hypermethylated	1	0.2181883797196928	3.490402539972357e-88
AC007614.1	hypermethylated	4	0.3326329507780154	1.688761890684027e-128
AC007728.3	hypermethylated	1	0.2237846966352352	3.4288086359870626e-72
AC007780.1	hypermethylated	1	0.2529079116453174	1.5937103645344737e-108
AC007991.3	hypermethylated	1	0.2814228403328861	3.8695214965515305e-88
AC008012.1	hypermethylated	15	0.325330912652808	2.2497058079263222e-138
AC008014.1	hypermethylated	8	0.4445159805265833	2.1275610954283568e-194
AC008060.1	hypermethylated	2	0.2479601024824717	7.436094803335357e-131
AC008060.2	hypermethylated	3	0.3606782669716692	3.309942488970211e-113
AC008060.3	hypermethylated	8	0.3577617801575161	2.302784610164723e-151
AC008063.1	hypermethylated	1	0.2447804130271702	7.661254015275658e-107
AC008127.1	hypermethylated	2	0.2567658184799816	2.30983734524599e-104
AC008147.1	hypermethylated	1	0.2675217925445943	6.732481441901733e-18
AC008149.2	hypermethylated	1	0.2929787509333582	3.253026657597127e-67
AC008397.2	hypermethylated	2	0.454224978883413	6.732300609912176e-73
AC008443.3	hypermethylated	1	0.3523539066877669	1.3300513115952194e-45
AC008481.3	hypermethylated	5	0.3175608937618238	2.2057294575906014e-148
AC008525.1	hypermethylated	4	0.482771454040068	6.039051542925793e-153
AC008537.1	hypermethylated	1	0.2752982967033294	3.4830202512083806e-26
AC008543.1	hypermethylated	7	0.3281681588744281	8.798763445142889e-63
AC008555.2	hypermethylated	1	0.2048389780745383	4.57991288472988e-16
AC008567.2	hypermethylated	8	0.433996007710517	4.613143373567601e-218
AC008581.2	hypermethylated	1	0.20634651116963	4.636891844374333e-55
AC008591.1	hypermethylated	2	0.2180629703476435	2.575645307429547e-101
AC008620.2	hypermethylated	1	0.2139941843239588	4.730375641408642e-133
AC008649.1	hypermethylated	2	0.3363866700169638	3.4477144328253145e-57
AC008738.2	hypermethylated	4	0.2724733529283599	2.1545528394587963e-116
AC008750.2	hypermethylated	1	0.3552678397436175	2.6995316616854434e-97
AC008758.1	hypermethylated	6	0.4029217089843829	3.2253744595569255e-128
AC008763.3	hypermethylated	3	0.2609477643680672	1.5939043949013618e-72
AC008763.4	hypermethylated	2	0.3031454759793393	8.5949559469757e-144
AC008808.1	hypermethylated	6	0.3100607731046899	3.419535075015441e-152
AC008808.2	hypermethylated	1	0.2255689685057917	5.005728100817924e-84
AC008875.1	hypermethylated	4	0.2966420780960316	9.327172516469331e-100
AC008875.2	hypermethylated	7	0.5403949407225881	2.1666689430664326e-206
AC008875.3	hypermethylated	7	0.5403949407225881	2.1666689430664326e-206
AC008892.1	hypermethylated	1	0.2314053930347059	3.0758313387061265e-20
AC008945.2	hypermethylated	2	0.3532326513241247	8.100265944600013e-108
AC009041.3	hypermethylated	1	0.2378469320967909	3.929979392463849e-98
AC009061.2	hypermethylated	2	0.2324679921329551	1.0273449851729654e-77
AC009065.1	hypermethylated	5	0.308290804106758	5.966040475883923e-68
AC009070.1	hypermethylated	1	0.2149201603686415	8.540088695103798e-31
AC009078.3	hypermethylated	1	0.2115875121437107	5.19706622985581e-84
AC009093.11	hypermethylated	2	0.2302507997242938	2.375585634628139e-99
AC009152.6	hypermethylated	1	0.2230410298379255	3.2547839052703413e-43
AC009264.1	hypermethylated	10	0.3163652032493732	8.142887496453432e-158
AC009292.1	hypermethylated	4	0.3074157595570759	1.7033231434635088e-130
AC009292.2	hypermethylated	4	0.3074157595570759	1.7033231434635088e-130
AC009403.2	hypermethylated	5	0.3606782669716692	3.309942488970211e-113
AC009404.1	hypermethylated	4	0.2871892429835909	4.3715629474867895e-78
AC009487.1	hypermethylated	2	0.3736081966441562	6.815395901596508e-147
AC009487.2	hypermethylated	9	0.4105828118039776	2.7069182084736173e-209
AC009495.1	hypermethylated	1	0.2275981483209391	5.922145054943312e-52
AC009522.1	hypermethylated	1	0.2881683572544333	3.2508666514792733e-57
AC009531.1	hypermethylated	4	0.4896999533534802	1.2357370893192737e-63
AC009562.1	hypermethylated	1	0.339566121878581	8.918881820277361e-96
AC009570.2	hypermethylated	1	0.4116026671528423	1.0227238361610372e-48
AC009630.1	hypermethylated	1	0.201900420875693	5.424759011361472e-56
AC009630.4	hypermethylated	1	0.201900420875693	5.424759011361472e-56
AC009779.3	hypermethylated	6	0.3059659749543322	1.6191964129427944e-88
AC009779.4	hypermethylated	1	0.2030262810669319	3.798474234620288e-42
AC009879.3	hypermethylated	4	0.3287627953653387	9.40811591132406e-69
AC009902.2	hypermethylated	6	0.2722660507160783	3.1237257215295384e-105
AC009949.1	hypermethylated	1	0.2157865601826893	4.1521781511841745e-109
AC009951.2	hypermethylated	1	0.2633753792644874	2.556967965686136e-53
AC009951.6	hypermethylated	1	0.333400292418732	1.8684536892632197e-147
AC010197.2	hypermethylated	2	0.2504544572456696	1.4902293170105472e-112
AC010198.2	hypermethylated	11	0.3496816404553132	1.2635558556514234e-165
AC010203.1	hypermethylated	1	0.2749077864762278	7.761161389913517e-66
AC010210.1	hypermethylated	2	0.2542635059919743	5.401292968118658e-57
AC010226.1	hypermethylated	1	0.2878439384824754	4.183123847615176e-44
AC010255.2	hypermethylated	1	0.2298782774211799	5.655956433019407e-51
AC010280.2	hypermethylated	1	0.2330950315233547	4.446089732003942e-36
AC010327.2	hypermethylated	4	0.4173495971199612	2.577910717628453e-135
AC010327.4	hypermethylated	2	0.4173495971199612	2.577910717628453e-135
AC010332.3	hypermethylated	9	0.3856838729990509	3.2644767780869987e-174
AC010343.3	hypermethylated	1	0.2503069399234138	1.8298599644950675e-40
AC010401.1	hypermethylated	1	0.2210172690262859	5.986222547229555e-58
AC010420.1	hypermethylated	1	0.3854903504999983	5.9317248286014275e-65
AC010422.3	hypermethylated	6	0.3000238355362924	1.9784386100827863e-116
AC010422.6	hypermethylated	1	0.3975660629935696	4.383302618763397e-59
AC010457.1	hypermethylated	2	0.3522109364873479	1.3274430281958655e-60
AC010463.1	hypermethylated	2	0.2628801193645239	3.166923534549733e-110
AC010478.1	hypermethylated	18	0.3761816445517114	6.371299620860889e-126
AC010501.2	hypermethylated	1	0.2767176357508313	2.595840258032249e-43
AC010519.1	hypermethylated	1	0.3812455965583384	1.2345464036852667e-27
AC010542.4	hypermethylated	1	0.2058969880731417	3.1574514707142305e-42
AC010547.1	hypermethylated	1	0.2230871157425812	4.2710082316107753e-07
AC010547.4	hypermethylated	1	0.2230871157425812	4.2710082316107753e-07
AC010618.3	hypermethylated	1	0.2545528181423254	4.058172189306453e-79
AC010624.3	hypermethylated	2	0.2463419405868721	5.765228275376117e-49
AC010894.1	hypermethylated	1	0.2270980200349389	1.2406844467358542e-36
AC010894.2	hypermethylated	3	0.3088000856880139	8.971865969877584e-133
AC010907.1	hypermethylated	3	0.4099793830463759	1.5967917733930471e-77
AC010931.2	hypermethylated	4	0.4180052246370059	7.567510409110746e-87
AC010997.3	hypermethylated	1	0.3071559180159044	3.705473476751339e-32
AC011092.2	hypermethylated	1	0.2312794572168779	1.1612559437170698e-69
AC011239.2	hypermethylated	4	0.4143087343584027	2.151891857076744e-99
AC011246.1	hypermethylated	6	0.4138613461388509	2.8451134051373657e-122
AC011396.2	hypermethylated	24	0.3815677581470506	1.017797703187764e-166
AC011416.4	hypermethylated	1	0.2130910865532815	2.666754845154975e-66
AC011448.1	hypermethylated	3	0.2501568889273624	6.702846833115918e-64
AC011450.1	hypermethylated	1	0.3209606440702542	2.3402239074206984e-46
AC011451.3	hypermethylated	2	0.2413025177531745	7.702160732577948e-107
AC011452.1	hypermethylated	1	0.3245021460269376	3.341085563598373e-65
AC011473.4	hypermethylated	1	0.2745090080897429	4.4576456341841195e-49
AC011474.1	hypermethylated	6	0.3188347696585251	1.4099904752869012e-111
AC011474.2	hypermethylated	7	0.3188347696585251	1.4099904752869012e-111
AC011481.3	hypermethylated	1	0.2586165129146371	2.1668543067552263e-49
AC011483.1	hypermethylated	1	0.2745090080897429	4.4576456341841195e-49
AC011484.1	hypermethylated	2	0.2065583630200541	1.8788544885164416e-68
AC011495.3	hypermethylated	1	0.2914645104514383	1.564146953618322e-70
AC011509.2	hypermethylated	2	0.3138161527265747	8.083244126608658e-92
AC011511.5	hypermethylated	2	0.3192117358602002	2.5033121541338223e-73
AC011603.2	hypermethylated	1	0.2319280081900997	5.893770976295033e-64
AC011603.3	hypermethylated	2	0.3346349983494248	1.2902567907225397e-64
