gene	function
ABHD14B	abhydrolase domain containing 14B — Enables hydrolase activity. Involved in positive regulation of transcription by RNA polymerase II.
ABHD15-AS1	ABHD15 antisense RNA 1 (non-coding RNA; limited characterised function).
ABHD17C	abhydrolase domain containing 17C, depalmitoylase — Enables palmitoyl-(protein) hydrolase activity. Involved in protein depalmitoylation.
ABHD2	abhydrolase domain containing 2, acylglycerol lipase — This gene encodes a protein containing an alpha/beta hydrolase fold, which is a catalytic domain found in a wide range of enzymes. The encoded protein is an acylglycerol lipase that catalyzes the hydrolysis of endocannabinoid arachidonoy...
ABHD3	abhydrolase domain containing 3, phospholipase — This gene encodes a protein containing an alpha/beta hydrolase fold, which is a catalytic domain found in a very wide range of enzymes. The function of this protein has not been determined.
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B — Predicted to enable lysophosphatidic acid acyltransferase activity and lysophospholipase activity. Predicted to be involved in N-acylphosphatidylethanolamine metabolic process; lipid homeostasis; and phosphatidic acid biosynthetic process.
ABI1	abl interactor 1 — This gene encodes a member of the Abelson-interactor family of adaptor proteins. These proteins facilitate signal transduction as components of several multiprotein complexes, and regulate actin polymerization and cytoskeletal remodeling...
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase — This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes, including cell division, adhesion, differentiation, and response to stress. The activity of the protein is negatively regula...
ABLIM1	actin binding LIM protein 1 — This gene encodes a LIM zinc-binding domain-containing protein that binds to actin filaments and mediates interactions between actin and cytoplasmic targets. Alternatively spliced transcript variants encoding different isoforms have been...
ABLIM2	actin binding LIM protein family member 2 — Predicted to enable actin filament binding activity. Predicted to be involved in lamellipodium assembly.
ABLIM3	actin binding LIM protein family member 3 — This gene encodes a member of the actin-binding LIM (abLIM) family of proteins. These proteins are characterized by an N-terminal LIM domain and a C-terminal dematin-like domain.
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase — This gene encodes proteins related to the first discovered blood group system, ABO. Variation in the ABO gene (chromosome 9q34.2) is the basis of the ABO blood group, thus the presence of an allele determines the blood group in an indivi...
ABR	ABR activator of RhoGEF and GTPase — This gene encodes a protein that is similar to the protein encoded by the breakpoint cluster region gene located on chromosome 22. The protein encoded by this gene contains a GTPase-activating protein domain, a domain found in members of...
ABT1	activator of basal transcription 1 — Basal transcription of genes by RNA polymerase II requires the interaction of TATA-binding protein (TBP) with the core region of class II promoters.  Studies in mouse suggest that the protein encoded by this gene likely activates basal t...
ABTB2	ankyrin repeat and BTB domain containing 2 — Predicted to enable protein heterodimerization activity. Predicted to act upstream of or within cellular response to toxic substance.
AC000035.1	(no annotation found)
AC000050.2	(no annotation found)
AC000120.2	(no annotation found)
AC000120.3	(no annotation found)
AC000124.1	(no annotation found)
AC000403.1	(no annotation found)
AC002064.1	(no annotation found)
AC002066.1	(no annotation found)
AC002070.1	(no annotation found)
AC002074.1	(no annotation found)
AC002091.2	(no annotation found)
AC002094.1	(no annotation found)
AC002094.4	(no annotation found)
AC002116.2	(no annotation found)
AC002378.1	(no annotation found)
AC002451.1	(no annotation found)
AC002456.1	(no annotation found)
AC002463.1	(no annotation found)
AC002464.1	(no annotation found)
AC002472.1	(no annotation found)
AC002472.3	(no annotation found)
AC002480.1	(no annotation found)
AC002546.1	(no annotation found)
AC002985.1	(no annotation found)
AC002996.1	(no annotation found)
AC003002.2	(no annotation found)
AC003006.1	(no annotation found)
AC003044.1	(no annotation found)
AC003958.2	(no annotation found)
AC003973.1	(no annotation found)
AC003986.1	(no annotation found)
AC003986.2	(no annotation found)
AC003991.1	(no annotation found)
AC004079.1	(no annotation found)
AC004079.2	(no annotation found)
AC004079.3	(no annotation found)
AC004079.4	(no annotation found)
AC004079.5	(no annotation found)
AC004080.1	(no annotation found)
AC004080.10	(no annotation found)
AC004080.11	(no annotation found)
AC004080.12	(no annotation found)
AC004080.14	(no annotation found)
AC004080.17	(no annotation found)
AC004080.2	(no annotation found)
AC004080.3	(no annotation found)
AC004080.4	(no annotation found)
AC004080.5	(no annotation found)
AC004080.6	(no annotation found)
AC004080.7	(no annotation found)
AC004080.8	(no annotation found)
AC004080.9	(no annotation found)
AC004083.1	(no annotation found)
AC004112.1	(no annotation found)
AC004147.2	(no annotation found)
AC004147.4	(no annotation found)
AC004160.1	(no annotation found)
AC004224.2	(no annotation found)
AC004231.1	(no annotation found)
AC004231.4	(no annotation found)
AC004408.1	(no annotation found)
AC004408.2	(no annotation found)
AC004522.5	(no annotation found)
AC004540.1	(no annotation found)
AC004549.1	(no annotation found)
AC004551.1	(no annotation found)
AC004593.1	(no annotation found)
AC004593.2	(no annotation found)
AC004596.1	(no annotation found)
AC004637.1	(no annotation found)
AC004691.2	(no annotation found)
AC004692.2	(no annotation found)
AC004706.1	(no annotation found)
AC004801.3	(no annotation found)
AC004801.4	(no annotation found)
AC004803.1	(no annotation found)
AC004805.1	(no annotation found)
AC004828.2	(no annotation found)
AC004837.1	(no annotation found)
AC004837.3	(no annotation found)
AC004846.1	(no annotation found)
AC004882.1	(no annotation found)
AC004882.2	(no annotation found)
AC004884.2	(no annotation found)
AC004890.2	(no annotation found)
AC004911.1	(no annotation found)
AC004917.1	(no annotation found)
AC004922.1	(no annotation found)
AC004943.2	(no annotation found)
AC004947.2	(no annotation found)
AC004974.1	(no annotation found)
AC005040.2	(no annotation found)
AC005041.1	(no annotation found)
AC005041.2	(no annotation found)
AC005041.4	(no annotation found)
AC005042.1	(no annotation found)
AC005050.3	(no annotation found)
AC005064.1	(no annotation found)
AC005082.1	(no annotation found)
AC005082.2	(no annotation found)
AC005083.1	(no annotation found)
AC005096.1	(no annotation found)
AC005165.1	(no annotation found)
AC005192.1	(no annotation found)
AC005208.1	(no annotation found)
AC005209.1	(no annotation found)
AC005224.1	(no annotation found)
AC005229.4	(no annotation found)
AC005252.4	(no annotation found)
AC005258.1	(no annotation found)
AC005261.4	(no annotation found)
AC005274.1	(no annotation found)
AC005291.2	(no annotation found)
AC005293.1	(no annotation found)
AC005323.2	(no annotation found)
AC005336.2	(no annotation found)
AC005357.2	(no annotation found)
AC005394.2	(no annotation found)
AC005410.1	(no annotation found)
AC005481.1	(no annotation found)
AC005520.2	(no annotation found)
AC005524.1	(no annotation found)
AC005537.1	(no annotation found)
AC005586.1	(no annotation found)
AC005597.1	(no annotation found)
AC005599.1	(no annotation found)
AC005606.2	(no annotation found)
AC005609.1	(no annotation found)
AC005609.5	(no annotation found)
AC005622.1	(no annotation found)
AC005682.1	(no annotation found)
AC005682.2	(no annotation found)
AC005699.1	(no annotation found)
AC005703.3	(no annotation found)
AC005726.1	(no annotation found)
AC005740.5	(no annotation found)
AC005746.2	(no annotation found)
AC005753.2	(no annotation found)
AC005775.1	(no annotation found)
AC005786.1	(no annotation found)
AC005786.4	(no annotation found)
AC005790.1	(no annotation found)
AC005796.1	(no annotation found)
AC005821.1	(no annotation found)
AC005828.3	(no annotation found)
AC005828.4	(no annotation found)
AC005832.4	(no annotation found)
AC005833.2	(no annotation found)
AC005837.4	(no annotation found)
AC005856.1	(no annotation found)
AC005865.1	(no annotation found)
AC005888.1	(no annotation found)
AC005906.2	(no annotation found)
AC005914.1	(no annotation found)
AC005921.2	(no annotation found)
AC005999.2	(no annotation found)
AC006003.1	(no annotation found)
AC006028.1	(no annotation found)
AC006058.2	(no annotation found)
AC006058.3	(no annotation found)
AC006059.2	(no annotation found)
AC006063.4	(no annotation found)
AC006115.2	(no annotation found)
AC006116.3	(no annotation found)
