gene	function
DCAF12L1	DDB1 and CUL4 associated factor 12 like 1 — This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric o...
DCAF4L2	DDB1 and CUL4 associated factor 4 like 2
DCAF5	DDB1 and CUL4 associated factor 5 — Predicted to be involved in protein ubiquitination. Part of Cul4-RING E3 ubiquitin ligase complex.
DCAF8	DDB1 and CUL4 associated factor 8 — This gene encodes a WD repeat-containing protein that interacts with the Cul4-Ddb1 E3 ligase macromolecular complex. Multiple alternatively spliced transcript variants have been found for this gene.
DCAKD	dephospho-CoA kinase domain containing — Predicted to enable dephospho-CoA kinase activity. Predicted to be involved in coenzyme A biosynthetic process.
DCANP1	dendritic cell associated nuclear protein 1 — This intronless gene is specifically expressed in dendritic cells (DCs), which are potent antigen-presenting cells involved in activating naive T cells to initiate antigen-specific immune response. The encoded protein is localized mainly...
DCBLD1	discoidin, CUB and LCCL domain containing 1 — Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]
DCC	DCC netrin 1 receptor — This gene encodes a netrin 1 receptor. The transmembrane protein is a member of the immunoglobulin superfamily of cell adhesion molecules, and mediates axon guidance of neuronal growth cones towards sources of netrin 1 ligand.
DCDC2C	doublecortin domain containing 2C — Predicted to be involved in intracellular signal transduction. Located in cytoplasm and sperm flagellum.
DCHS1	dachsous cadherin-related 1 — This gene is a member of the cadherin superfamily whose members encode calcium-dependent cell-cell adhesion molecules. The encoded protein has a signal peptide, 27 cadherin repeat domains and a unique cytoplasmic region.
DCHS2	dachsous cadherin-related 2 — This gene encodes a large protein that contains many cadherin domains and likely functions in cell adhesion. Genome-wide association studies suggest that this gene may be important in Alzheimer's disease, compressive strength index, and...
DCK	deoxycytidine kinase — Deoxycytidine kinase (DCK) is required for the phosphorylation of several deoxyribonucleosides and their nucleoside analogs.  Deficiency of DCK is associated with resistance to antiviral and anticancer chemotherapeutic agents.
DCLK1	doublecortin like kinase 1 — This gene encodes a member of the protein kinase superfamily and the doublecortin family. The protein encoded by this gene contains two N-terminal doublecortin domains, which bind microtubules and regulate microtubule polymerization, a C...
DCLK2	doublecortin like kinase 2 — This gene encodes a member of the protein kinase superfamily and the doublecortin family. The protein encoded by this gene contains two N-terminal doublecortin domains, which bind microtubules and regulate microtubule polymerization, a C...
DCLK3	doublecortin like kinase 3 — Predicted to enable protein kinase activity. Predicted to be involved in peptidyl-serine phosphorylation.
DCP1A	decapping mRNA 1A — Decapping is a key step in general and regulated mRNA decay. The protein encoded by this gene is a decapping enzyme.
DCPS	decapping enzyme, scavenger — This gene encodes a member of the histidine triad family of pyrophosphatases that removes short mRNA fragments containing the 5' mRNA cap structure, which appear in the 3' -> 5' mRNA decay pathway, following deadenylation and exosome-med...
DCSTAMP	dendrocyte expressed seven transmembrane protein — This gene encodes a seven-pass transmembrane protein that is primarily expressed in dendritic cells. The encoded protein is involved in a range of immunological functions carried out by dendritic cells.
DCTN1	dynactin subunit 1 — This gene encodes the largest subunit of dynactin, a macromolecular complex consisting of 10 subunits ranging in size from 22 to 150 kD. Dynactin binds to both microtubules and cytoplasmic dynein.
DCTN1-AS1	DCTN1 antisense RNA 1 (non-coding RNA; limited characterised function).
DCTN2	dynactin subunit 2 — This gene encodes a 50-kD subunit of dynactin, a macromolecular complex consisting of 10-11 subunits ranging in size from 22 to 150 kD. Dynactin binds to both microtubules and cytoplasmic dynein.
DCTN6	dynactin subunit 6 — The protein encoded by this gene contains an RGD (Arg-Gly-Asp) motif in the N-terminal region, which confers adhesive properties to macromolecular proteins like fibronectin. It shares a high degree of sequence similarity with the mouse h...
DCUN1D1	defective in cullin neddylation 1 domain containing 1 — Enables cullin family protein binding activity. Involved in positive regulation of protein neddylation and regulation of protein ubiquitination.
DDAH1	dimethylarginine dimethylaminohydrolase 1 — This gene belongs to the dimethylarginine dimethylaminohydrolase (DDAH) gene family. The encoded enzyme plays a role in nitric oxide generation by regulating cellular concentrations of methylarginines, which in turn inhibit nitric oxide...
DDAH2	DDAH family member 2, ADMA-independent — This gene encodes a dimethylarginine dimethylaminohydrolase. The encoded enzyme functions in nitric oxide generation by regulating the cellular concentrations of methylarginines, which in turn inhibit nitric oxide synthase activity.
DDB1	damage specific DNA binding protein 1 — The protein encoded by this gene is the large subunit (p127) of the heterodimeric DNA damage-binding (DDB) complex while another protein (p48) forms the small subunit. This protein complex functions in nucleotide-excision repair and bind...
DDB2	damage specific DNA binding protein 2 — This gene encodes a protein that is necessary for the repair of ultraviolet light-damaged DNA. This protein is the smaller subunit of a heterodimeric protein complex that participates in nucleotide excision repair, and this complex media...
DDC	dopa decarboxylase — The encoded protein catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine, L-5-hydroxytryptophan to serotonin and L-tryptophan to tryptamine. Defects in this gene are the cause of aromatic L-amino-acid decarbox...
DDIT3	DNA damage inducible transcript 3 — This gene encodes a member of the CCAAT/enhancer-binding protein (C/EBP) family of transcription factors. The protein functions as a dominant-negative inhibitor by forming heterodimers with other C/EBP members, such as C/EBP and LAP (liv...
DDIT4L	DNA damage inducible transcript 4 like — Predicted to be involved in negative regulation of signal transduction. Predicted to be located in cytoplasm.
DDN	dendrin — Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to act upstream of or within positive regulation of t...
DDR1	discoidin domain receptor tyrosine kinase 1 — Receptor tyrosine kinases play a key role in the communication of cells with their microenvironment. These kinases are involved in the regulation of cell growth, differentiation and metabolism.
DDR2	discoidin domain receptor tyrosine kinase 2 — This gene encodes a member of the discoidin domain receptor subclass of the receptor tyrosine kinase (RTKs) protein family. RTKs play a key role in the communication of cells with their microenvironment.
DDX1	DEAD-box helicase 1 — DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiat...
DDX25	DEAD-box helicase 25 — DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure, such as translation initia...
DDX49	DEAD-box helicase 49 — Enables RNA binding activity. Involved in positive regulation of cell growth and regulation of rRNA stability.
DECR1	2,4-dienoyl-CoA reductase 1 — This gene encodes an accessory enzyme which participates in the beta-oxidation and metabolism of unsaturated fatty enoyl-CoA esters. [provided by RefSeq, Jul 2008]
DEFA4	defensin alpha 4 — Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, r...
DEFB115	defensin beta 115 — Defensins form a family of antimicrobial and cytotoxic peptides made by neutrophils. Defensins are short, processed peptide molecules that are classified by structure into three groups: alpha-defensins, beta-defensins and theta-defensins.
DEFB116	defensin beta 116 — Defensins form a family of antimicrobial and cytotoxic peptides made by neutrophils. Defensins are short, processed peptide molecules that are classified by structure into three groups: alpha-defensins, beta-defensins and theta-defensins.
DEFB118	defensin beta 118 — This gene encodes a member of the beta subfamily of defensins. Beta-defensins are antimicrobial peptides that protect tissues and organs from infection by a variety of microorganisms.
DEFB119	defensin beta 119 — This gene encodes a member of the beta subfamily of defensins. Beta-defensins are antimicrobial peptides that protect tissues and organs from infection by a variety of microorganisms.
DEFB121	defensin beta 121 — This gene encodes a member of the beta subfamily of defensins. Beta-defensins are antimicrobial peptides that protect tissues and organs from infection by a variety of microorganisms.
DEFB122	defensin beta 122 (pseudogene) (pseudogene).
DEFB123	defensin beta 123 — Defensins are cysteine-rich cationic polypeptides that are important in the host immunologic response to invading microorganisms. This antimicrobial protein is secreted and is a member of the beta defensin protein family.
DEFB124	defensin beta 124 — Defensins are cysteine-rich cationic polypeptides that are important in the host immunologic response to invading microorganisms. This antimicrobial protein is secreted and is a member of the beta defensin protein family.
DEFB125	defensin beta 125 — Defensins are cysteine-rich cationic polypeptides that are important in the host immunologic response to invading microorganisms. The antimicrobial protein encoded by this gene is secreted and is a member of the beta defensin protein fam...
DEFB129	defensin beta 129 — Defensins are cysteine-rich cationic polypeptides that are important in the immunologic response to invading microorganisms. The antimicrobial protein encoded by this gene is secreted and is a member of the beta defensin protein family.
DEFB132	defensin beta 132 — Defensins are cysteine-rich cationic polypeptides that are important in the immunologic response to invading microorganisms. The protein encoded by this gene is secreted and is a member of the beta defensin protein family.
DEFB135	defensin beta 135 — Defensins are cysteine-rich cationic polypeptides that are important in the immunologic response to invading microorganisms. The antimicrobial protein encoded by this gene is secreted and is a member of the beta defensin protein family.
DEGS1	delta 4-desaturase, sphingolipid 1 — This gene encodes a member of the membrane fatty acid desaturase family which is responsible for inserting double bonds into specific positions in fatty acids. This protein contains three His-containing consensus motifs that are characte...
DELEC1	deleted in esophageal cancer 1 — The function of this gene is not known. This gene is located in a region commonly deleted in esophageal squamous cell carcinomas.
DENND11	DENN domain containing 11 — Predicted to enable guanyl-nucleotide exchange factor activity. Predicted to be involved in regulation of catalytic activity.
DENND1A	DENN domain containing 1A — Clathrin (see MIM 118955)-mediated endocytosis is a major mechanism for internalization of proteins and lipids. Members of the connecdenn family, such as DENND1A, function as guanine nucleotide exchange factors (GEFs) for the early endos...
DENND1C	DENN domain containing 1C — The protein encoded by this gene functions as a guanine nucleotide exchange factor for the early endosomal small GTPase RAB35, which regulates endosomal membrane trafficking and is involved in actin polymerization. The encoded protein ac...
DENND2A	DENN domain containing 2A — Enables guanyl-nucleotide exchange factor activity. Involved in retrograde transport, endosome to Golgi.
DENND2B	DENN domain containing 2B — This gene was identified by its ability to suppress the tumorigenicity of Hela cells in nude mice. The protein encoded by this gene contains a C-terminal region that shares similarity with the Rab 3 family of small GTP binding proteins.
DENND2D	DENN domain containing 2D — Enables guanyl-nucleotide exchange factor activity. Predicted to be involved in regulation of catalytic activity.
DENND3	DENN domain containing 3 — Enables guanyl-nucleotide exchange factor activity. Predicted to be involved in cellular protein catabolic process; endosome to lysosome transport; and regulation of Rab protein signal transduction.
DENND5A	DENN domain containing 5A — This gene encodes a DENN-domain-containing protein that functions as a RAB-activating guanine nucleotide exchange factor (GEF). This protein catalyzes the conversion of GDP to GTP and thereby converts inactive GDP-bound Rab proteins into...
DENND5B	DENN domain containing 5B — Enables guanyl-nucleotide exchange factor activity. Predicted to be involved in positive regulation of triglyceride transport and regulation of catalytic activity.
DEPDC1	DEP domain containing 1 — Predicted to enable GTPase activator activity. Involved in negative regulation of transcription, DNA-templated.
DEPDC1-AS1	DEPDC1 antisense RNA 1 (non-coding RNA; limited characterised function).
DEPDC1B	DEP domain containing 1B — Predicted to enable GTPase activator activity. Involved in cell migration and positive regulation of Wnt signaling pathway.
DEPDC7	DEP domain containing 7 — Predicted to be involved in intracellular signal transduction. [provided by Alliance of Genome Resources, Apr 2022]
DEPTOR	DEP domain containing MTOR interacting protein — Involved in several processes, including negative regulation of TOR signaling; negative regulation of cell size; and negative regulation of protein kinase activity. [provided by Alliance of Genome Resources, Apr 2022]
DERA	deoxyribose-phosphate aldolase — Enables deoxyribose-phosphate aldolase activity. Involved in deoxyribonucleoside catabolic process.
DES	desmin — This gene encodes a muscle-specific class III intermediate filament. Homopolymers of this protein form a stable intracytoplasmic filamentous network connecting myofibrils to each other and to the plasma membrane.
DESI2	desumoylating isopeptidase 2 — Enables Lys48-specific deubiquitinase activity; Lys63-specific deubiquitinase activity; and thiol-dependent deubiquitinase. Predicted to be involved in protein deubiquitination.
DEUP1	deuterosome assembly protein 1 — Enables identical protein binding activity. Predicted to be involved in centriole replication and de novo centriole assembly involved in multi-ciliated epithelial cell differentiation.
DFFB	DNA fragmentation factor subunit beta — Apoptosis is a cell death process that removes toxic and/or useless cells during mammalian development. The apoptotic process is accompanied by shrinkage and fragmentation of the cells and nuclei and degradation of the chromosomal DNA in...
DGAT2L7P	diacylglycerol O-acyltransferase 2 like 7, pseudogene — Enables diacylglycerol O-acyltransferase activity. Predicted to be involved in triglyceride biosynthetic process.
DGCR5	DiGeorge syndrome critical region gene 5 — Biomarker of Huntington's disease. [provided by Alliance of Genome Resources, Apr 2022]
DGKA	diacylglycerol kinase alpha — The protein encoded by this gene belongs to the eukaryotic diacylglycerol kinase family. It acts as a modulator that competes with protein kinase C for the second messenger diacylglycerol in intracellular signaling pathways.
DGKB	diacylglycerol kinase beta — Diacylglycerol kinases (DGKs) are regulators of the intracellular concentration of the second messenger diacylglycerol (DAG) and thus play a key role in cellular processes. Nine mammalian isotypes have been identified, which are encoded...
DGKD	diacylglycerol kinase delta — This gene encodes a cytoplasmic enzyme that phosphorylates diacylglycerol to produce phosphatidic acid. Diacylglycerol and phosphatidic acid are two lipids that act as second messengers in signaling cascades.
DGKG	diacylglycerol kinase gamma — This gene encodes an enzyme that is a member of the type I subfamily of diacylglycerol kinases, which are involved in lipid metabolism. These enzymes generate phosphatidic acid by catalyzing the phosphorylation of diacylglycerol, a funda...
DGKH	diacylglycerol kinase eta — This gene encodes a member of the diacylglycerol kinase (DGK) enzyme family. Members of this family are involved in regulating intracellular concentrations of diacylglycerol and phosphatidic acid.
DGKI	diacylglycerol kinase iota — This gene is a member of the type IV diacylglycerol kinase subfamily.  Diacylglycerol kinases regulate the intracellular concentration of diacylglycerol through its phosphorylation, producing phosphatidic acid.
DGKK	diacylglycerol kinase kappa — The protein encoded by this gene is an enzyme that phosphorylates diacylglycerol, converting it to phosphatidic acid. The encoded protein is a membrane protein and is inhibited by hydrogen peroxide.
DGKQ	diacylglycerol kinase theta — The protein encoded by this gene contains three cysteine-rich domains, a proline-rich region, and a pleckstrin homology domain with an overlapping Ras-associating domain. It is localized in the speckle domains of the nucleus, and mediate...
DGKZ	diacylglycerol kinase zeta — The protein encoded by this gene belongs to the eukaryotic diacylglycerol kinase family. It may attenuate protein kinase C activity by regulating diacylglycerol levels in intracellular signaling cascade and signal transduction.
DGLUCY	D-glutamate cyclase — Predicted to enable D-glutamate cyclase activity. Predicted to be involved in glutamate metabolic process.
DHCR24	24-dehydrocholesterol reductase — This gene encodes a flavin adenine dinucleotide (FAD)-dependent oxidoreductase which catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis. The protein contains a leader sequence that...
DHRS12	dehydrogenase/reductase 12 — This gene encodes a member of the short-chain dehydrogenases/reductases (SDR) family, which has over 46,000 members. Members in this family are enzymes that metabolize many different compounds, such as steroid hormones, prostaglandins, r...
DHRS2	dehydrogenase/reductase 2 — This gene encodes a member of the short-chain dehydrogenases/reductases (SDR) family, which has over 46,000 members. Members of this family are enzymes that metabolize many different compounds, such as steroid hormones, prostaglandins, r...
DHRS3	dehydrogenase/reductase 3 — Short-chain dehydrogenases/reductases (SDRs), such as DHRS3, catalyze the oxidation/reduction of a wide range of substrates, including retinoids and steroids (Haeseleer and Palczewski, 2000 [PubMed 10800688]).[supplied by OMIM, Jun 2009]
DHTKD1	dehydrogenase E1 and transketolase domain containing 1 — This gene encodes a component of a mitochondrial 2-oxoglutarate-dehydrogenase-complex-like protein involved in the degradation pathways of several amino acids, including lysine. Mutations in this gene are associated with 2-aminoadipic 2-...
DHX16	DEAH-box helicase 16 — DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiat...
DHX40	DEAH-box helicase 40 — This gene encodes a member of the DExH/D box family of ATP-dependent RNA helicases that have an essential role in RNA metabolism. Alternate splicing results in multiple transcript variants.
DHX8	DEAH-box helicase 8 — This gene is a member of the DEAH box polypeptide family. The encoded protein contains the DEAH (Asp-Glu-Ala-His) motif which is characteristic of all DEAH box proteins, and is thought to function as an ATP-dependent RNA helicase that re...
DIABLO	diablo IAP-binding mitochondrial protein — This gene encodes an inhibitor of apoptosis protein (IAP)-binding protein. The encoded mitochondrial protein enters the cytosol when cells undergo apoptosis, and allows activation of caspases by binding to inhibitor of apoptosis proteins.
DIAPH1	diaphanous related formin 1 — This gene is a homolog of the Drosophila diaphanous gene, and has been linked to autosomal dominant, fully penetrant, nonsyndromic sensorineural progressive low-frequency hearing loss. Actin polymerization involves proteins known to inte...
DICER1	dicer 1, ribonuclease III — This gene encodes a protein possessing an RNA helicase motif containing a DEXH box in its amino terminus and an RNA motif in the carboxy terminus. The encoded protein functions as a ribonuclease and is required by the RNA interference an...
DINOL	damage induced long noncoding RNA
DIO3	iodothyronine deiodinase 3 — The protein encoded by this intronless gene belongs to the iodothyronine deiodinase family. It catalyzes the inactivation of thyroid hormone by inner ring deiodination of the prohormone thyroxine (T4) and the bioactive hormone 3,3',5-tri...
DIO3OS	DIO3 opposite strand upstream RNA — The mouse and human DIO3OS and DIO3 (MIM 601038) genes overlap and are transcribed in opposite directions. The mouse Dio3 gene is imprinted from the paternal allele during fetal development, suggesting that DIO3OS is a noncoding gene tha...
DIP2B	DIP2 acetate--CoA ligase B (putative) — This gene encodes a member of the disco-interacting protein homolog 2 protein family. The encoded protein contains a binding site for the transcriptional regulator DNA methyltransferase 1 associated protein 1 as well as AMP-binding sites.
DIP2C	DIP2 acetate--CoA ligase C (putative) — This gene encodes a member of the disco-interacting protein homolog 2 family. The protein shares strong similarity with a Drosophila protein which interacts with the transcription factor disco and is expressed in the nervous system.
DIPK2B	divergent protein kinase domain 2B — Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]
DIRAS1	DIRAS family GTPase 1 — DIRAS1 belongs to a distinct branch of the functionally diverse Ras (see HRAS; MIM 190020) superfamily of monomeric GTPases.[supplied by OMIM, Apr 2004].
DIRAS3	DIRAS family GTPase 3 — This gene encodes a member of the ras superfamily. This gene is imprinted gene with monoallelic expression of the paternal allele which is associated with growth suppression.
DIRC3	disrupted in renal carcinoma 3
DIS3L	DIS3 like exosome 3'-5' exoribonuclease — The cytoplasmic RNA exosome complex degrades unstable mRNAs and is involved in the regular turnover of other mRNAs. The protein encoded by this gene contains 3'-5' exoribonuclease activity and is a catalytic component of this complex.
DISC1	DISC1 scaffold protein — This gene encodes a protein with multiple coiled coil motifs which is located in the nucleus, cytoplasm and mitochondria. The protein is involved in neurite outgrowth and cortical development through its interaction with other proteins.
DKFZP434H168	(no annotation found)
DKK1	dickkopf Wnt signaling pathway inhibitor 1 — This gene encodes a member of the dickkopf family of proteins. Members of this family are secreted proteins characterized by two cysteine-rich domains that mediate protein-protein interactions.
DKK2	dickkopf Wnt signaling pathway inhibitor 2 — This gene encodes a protein that is a member of the dickkopf family. The secreted protein contains two cysteine rich regions and is involved in embryonic development through its interactions with the Wnt signaling pathway.
DKK3	dickkopf Wnt signaling pathway inhibitor 3 — This gene encodes a protein that is a member of the dickkopf family. The secreted protein contains two cysteine rich regions and is involved in embryonic development through its interactions with the Wnt signaling pathway.
DLAT	dihydrolipoamide S-acetyltransferase — This gene encodes component E2 of the multi-enzyme pyruvate dehydrogenase complex (PDC). PDC resides in the inner mitochondrial membrane and catalyzes the conversion of pyruvate to acetyl coenzyme A.
DLC1	DLC1 Rho GTPase activating protein — This gene encodes a GTPase-activating protein (GAP) that is a member of the rhoGAP family of proteins which play a role in the regulation of small GTP-binding proteins. GAP family proteins participate in signaling pathways that regulate...
DLD	dihydrolipoamide dehydrogenase — This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions.
DLEU1	deleted in lymphocytic leukemia 1
DLEU2	deleted in lymphocytic leukemia 2 — This locus represents a microRNA host gene and also produces long alternatively spliced non-coding RNAs. This genome region was observed to be deleted or epigenetically suppressed in leukemia, and was implicated as a negative regulator o...
DLEU7	deleted in lymphocytic leukemia 7
DLG2	discs large MAGUK scaffold protein 2 — This gene encodes a member of the membrane-associated guanylate kinase (MAGUK) family. The encoded protein forms a heterodimer with a related family member that may interact at postsynaptic sites to form a multimeric scaffold for the clu...
DLG4	discs large MAGUK scaffold protein 4 — This gene encodes a member of the membrane-associated guanylate kinase (MAGUK) family. It heteromultimerizes with another MAGUK protein, DLG2, and is recruited into NMDA receptor and potassium channel clusters.
DLG5	discs large MAGUK scaffold protein 5 — This gene encodes a member of the family of discs large (DLG) homologs, a subset of the membrane-associated guanylate kinase (MAGUK) superfamily. The MAGUK proteins are composed of a catalytically inactive guanylate kinase domain, in add...
DLG5-AS1	DLG5 antisense RNA 1 (non-coding RNA; limited characterised function).
DLGAP1	DLG associated protein 1 — Predicted to enable molecular adaptor activity. Predicted to be a structural constituent of postsynaptic density.
DLGAP2	DLG associated protein 2 — The product of this gene is a membrane-associated protein that may play a role in synapse organization and signalling in neuronal cells. This gene is biallelically expressed in the brain, however, only the paternal allele is expressed in...
DLGAP2-AS1	DLGAP2 antisense RNA 1 (non-coding RNA; limited characterised function).
DLGAP3	DLG associated protein 3 — Predicted to enable PDZ domain binding activity; molecular adaptor activity; and scaffold protein binding activity. Predicted to be involved in protein-containing complex assembly and regulation of postsynaptic neurotransmitter receptor...
DLGAP4	DLG associated protein 4 — The product of this gene is a membrane-associated guanylate kinase found at the postsynaptic density in neuronal cells. It is a signaling molecule that can interact with potassium channels and receptors, as well as other signaling molecu...
DLGAP4-AS1	DLGAP4 antisense RNA 1 (non-coding RNA; limited characterised function).
DLK1	delta like non-canonical Notch ligand 1 — This gene encodes a transmembrane protein that contains multiple epidermal growth factor repeats that functions as a regulator of cell growth. The encoded protein is involved in the differentiation of several cell types including adipocy...
DLK2	delta like non-canonical Notch ligand 2 — Predicted to enable Notch binding activity. Involved in negative regulation of Notch signaling pathway.
DLL3	delta like canonical Notch ligand 3 — This gene encodes a member of the delta protein ligand family. This family functions as Notch ligands that are characterized by a DSL domain, EGF repeats, and a transmembrane domain.
DLL4	delta like canonical Notch ligand 4 — This gene is a homolog of the Drosophila delta gene. The delta gene family encodes Notch ligands that are characterized by a DSL domain, EGF repeats, and a transmembrane domain.
DLX1	distal-less homeobox 1 — This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein is localized to the nucleus where it may function as a transcriptional regulator of signals from m...
DLX2	distal-less homeobox 2 — Many vertebrate homeo box-containing genes have been identified on the basis of their sequence similarity with Drosophila developmental genes. Members of the Dlx gene family contain a homeobox that is related to that of Distal-less (Dll)...
DLX2-DT	DLX2 divergent transcript
DLX4	distal-less homeobox 4 — Many vertebrate homeo box-containing genes have been identified on the basis of their sequence similarity with Drosophila developmental genes. Members of the Dlx gene family contain a homeobox that is related to that of Distal-less (Dll)...
DLX5	distal-less homeobox 5 — This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein may play a role in bone development and fracture healing.
DLX6	distal-less homeobox 6 — This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. This family is comprised of at least 6 different members that encode proteins with roles in forebrain and craniofacial...
DLX6-AS1	DLX6 antisense RNA 1 (non-coding RNA; limited characterised function).
DMAC2L	distal membrane arm assembly component 2 like — This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation.
DMBT1	deleted in malignant brain tumors 1 — Loss of sequences from human chromosome 10q has been associated with the progression of human cancers. This gene was originally isolated based on its deletion in a medulloblastoma cell line.
DMBT1L1	deleted in malignant brain tumors 1 like 1 (pseudogene) (pseudogene).
DMBX1	diencephalon/mesencephalon homeobox 1 — This gene encodes a member of the bicoid sub-family of homeodomain-containing transcription factors. The encoded protein acts as a transcription factor and may play a role in brain and sensory organ development.
DMC1	DNA meiotic recombinase 1 — This gene encodes a member of the superfamily of recombinases (also called DNA strand-exchange proteins). Recombinases are important for repairing double-strand DNA breaks during mitosis and meiosis.
DMD	dystrophin — This gene spans a genomic range of greater than 2 Mb and encodes a large protein containing an N-terminal actin-binding domain and multiple spectrin repeats. The encoded protein forms a component of the dystrophin-glycoprotein complex (D...
DMGDH	dimethylglycine dehydrogenase — This gene encodes an enzyme involved in the catabolism of choline, catalyzing the oxidative demethylation of dimethylglycine to form sarcosine. The enzyme is found as a monomer in the mitochondrial matrix, and uses flavin adenine dinucle...
DMP1	dentin matrix acidic phosphoprotein 1 — Dentin matrix acidic phosphoprotein is an extracellular matrix protein and a member of the small integrin binding ligand N-linked glycoprotein family. This protein, which is critical for proper mineralization of bone and dentin, is prese...
DMRT1	doublesex and mab-3 related transcription factor 1 — This gene is found in a cluster with two other members of the gene family, having in common a zinc finger-like DNA-binding motif (DM domain). The DM domain is an ancient, conserved component of the vertebrate sex-determining pathway that...
DMRT3	doublesex and mab-3 related transcription factor 3 — Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in male sex differentiation and regulation of transcription by RNA polymerase II.
DMRTA2	DMRT like family A2 — Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II and sex differentiation.
DMXL1	Dmx like 1 — The protein encoded by this gene is a member of the WD repeat superfamily of proteins, which have regulatory functions. This gene is expressed in many tissue types including several types of eye tissue, and it has been associated with oc...
DNAAF3	dynein axonemal assembly factor 3 — The protein encoded by this gene is required for the assembly of axonemal inner and outer dynein arms and plays a role in assembling dynein complexes for transport into cilia. Defects in this gene are a cause of primary ciliary dyskinesi...
DNAAF4-CCPG1	DNAAF4-CCPG1 readthrough (NMD candidate) — This locus represents naturally occurring read-through transcription between the neighboring dyslexia susceptibility 1 candidate 1 (DYX1C1) and cell cycle progression 1 (CCPG1) genes on chromosome 15. The read-through transcript is a can...
DNAAF5	dynein axonemal assembly factor 5 — The protein encoded by this gene is essential for the preassembly or stability of axonemal dynein arms, and is found only in organisms with motile cilia and flagella. Mutations in this gene are associated with primary ciliary dyskinesia-...
DNAH1	dynein axonemal heavy chain 1 — This gene encodes an inner dynein arm heavy chain that provides structural support between the radial spokes and the outer doublet of the sperm tail. Naturally occurring mutations in this gene are associated with primary ciliary dyskines...
DNAH10	dynein axonemal heavy chain 10 — Dyneins are microtubule-associated motor protein complexes composed of several heavy, light, and intermediate chains. The axonemal dyneins, found in cilia and flagella, are components of the outer and inner dynein arms attached to the pe...
DNAH14	dynein axonemal heavy chain 14 — Dyneins are microtubule-associated motor protein complexes composed of several heavy, light, and intermediate chains. Two major classes of dyneins, axonemal and cytoplasmic, have been identified.
DNAH17	dynein axonemal heavy chain 17 — Dyneins are microtubule-associated motor protein complexes composed of several heavy, light, and intermediate chains. DNAH17 is a heavy chain associated with axonemal dynein (Milisav and Affara, 1998 [PubMed 9545504]).[supplied by OMIM,...
DNAH17-AS1	DNAH17 antisense RNA 1 (non-coding RNA; limited characterised function).
DNAH3	dynein axonemal heavy chain 3 — This gene belongs to the dynein family, whose members encode large proteins that are constituents of the microtubule-associated motor protein complex. This complex is composed of dynein heavy, intermediate and light chains, which can be...
DNAH5	dynein axonemal heavy chain 5 — This gene encodes a dynein protein, which is part of a microtubule-associated motor protein complex consisting of heavy, light, and intermediate chains. This protein is an axonemal heavy chain dynein.
DNAH8	dynein axonemal heavy chain 8 — The protein encoded by this gene is a heavy chain of an axonemal dynein involved in sperm and respiratory cilia motility. Axonemal dyneins generate force through hydrolysis of ATP and binding to microtubules.
DNAH9	dynein axonemal heavy chain 9 — This gene encodes the heavy chain subunit of axonemal dynein, a large multi-subunit molecular motor. Axonemal dynein attaches to microtubules and hydrolyzes ATP to mediate the movement of cilia and flagella.
DNAI1	dynein axonemal intermediate chain 1 — This gene encodes a member of the dynein intermediate chain family. The encoded protein is part of the dynein complex in respiratory cilia.
DNAI3	dynein axonemal intermediate chain 3 — Enables Arp2/3 complex binding activity. Involved in negative regulation of Arp2/3 complex-mediated actin nucleation and negative regulation of cell migration.
